scenario,county_slug,capex_pv,capex_storage,capex_electric,capex_gas,annual_bill_electric,annual_bill_gas,vehicle_om
baseline_ice_car,alameda,962.794003215868,2165.000678414255,0.0,6026.715128251622,672.8371925046262,1191.848788266047,5302.886597938144
full_electric_ev,alameda,1834.9721002467131,2165.000678414255,8952.4059619249,0.0,1345.3927897367255,0.0,2161.56
full_electric_ev_coopt,alameda,538.0319429735733,0.0,8952.4059619249,0.0,2894.839188920976,0.0,2161.56
baseline_ice_car,alpine,1175.1750333370153,2165.000678414255,0.0,6026.715128251622,742.3282141513035,2209.485965930446,3036.0
full_electric_ev,alpine,2423.975490449362,2165.000678414255,9338.334067748938,0.0,1821.23439907991,0.0,2161.56
full_electric_ev_coopt,alpine,855.1876146211533,0.0,9338.334067748938,0.0,3616.72492875864,0.0,2161.56
baseline_ice_car,amador,948.6352678744582,2165.000678414255,0.0,6026.715128251622,675.389149897461,3319.4957354781545,5319.711340206186
full_electric_ev,amador,2712.8136914141223,2165.000678414255,8920.510623449258,0.0,2266.1316928592,0.0,2161.56
full_electric_ev_coopt,amador,631.4795962268781,0.0,8920.510623449258,0.0,4292.218110899007,0.0,2161.56
baseline_ice_car,butte,999.6067151035336,2165.000678414255,0.0,6026.715128251622,697.1994961226612,1302.4281570361263,5250.927835051547
full_electric_ev,butte,1962.4007183194017,2165.000678414255,8218.758279672773,0.0,1460.19922184388,0.0,2161.56
full_electric_ev_coopt,butte,506.8827252224717,0.0,8218.758279672773,0.0,3010.865889717143,0.0,2161.56
baseline_ice_car,colusa,798.552673255514,2165.000678414255,0.0,6026.715128251622,611.2686734281829,1554.3542483660965,5348.907216494846
full_electric_ev,colusa,1817.9816178370213,2165.000678414255,7984.050310449432,0.0,1409.982903875918,0.0,2161.56
full_electric_ev_coopt,colusa,430.42555437885864,0.0,7984.050310449432,0.0,2959.2350529520318,0.0,2161.56
baseline_ice_car,contra-costa,951.4670149427402,2165.000678414255,0.0,6026.715128251622,675.918448636304,1258.5258195558213,5306.845360824742
full_electric_ev,contra-costa,1829.3086061101492,2165.000678414255,9145.47980946162,0.0,1381.2906629623324,0.0,2161.56
full_electric_ev_coopt,contra-costa,546.5271841784192,0.0,9145.47980946162,0.0,2927.719665715832,0.0,2161.56
baseline_ice_car,del-norte,1466.8449813700577,2165.000678414255,0.0,6026.715128251622,950.851685696113,1806.5648851738451,5428.082474226804
full_electric_ev,del-norte,2800.597850530863,2165.000678414255,6928.342055561845,0.0,1849.471163714457,0.0,2161.56
full_electric_ev_coopt,del-norte,716.4320082753371,0.0,6928.342055561845,0.0,3745.4137228867926,0.0,2161.56
baseline_ice_car,fresno,925.9812913282025,2165.000678414255,0.0,6026.715128251622,667.361535510897,1003.1591092589956,5299.917525773196
full_electric_ev,fresno,1693.3847468326148,2165.000678414255,8581.190335810796,0.0,1297.040835052088,0.0,2161.56
full_electric_ev_coopt,fresno,501.2192310859078,0.0,8581.190335810796,0.0,2761.533876400263,0.0,2161.56
baseline_ice_car,humboldt,993.9432209669696,2165.000678414255,0.0,6026.715128251622,672.6182092113181,2238.5676023632377,5544.371134020619
full_electric_ev,humboldt,2520.254890770949,2165.000678414255,8612.372009225883,0.0,1755.472662439331,0.0,2161.56
full_electric_ev_coopt,humboldt,495.55573694934384,0.0,8612.372009225883,0.0,3573.238856948561,0.0,2161.56
baseline_ice_car,imperial,753.2447201630026,2165.000678414255,0.0,6026.715128251622,582.7238887092832,291.9419694493546,5143.546391752578
full_electric_ev,imperial,1260.1274453854744,2165.000678414255,7964.364134240543,0.0,890.3046446267504,0.0,2161.56
full_electric_ev_coopt,imperial,416.26681903744884,0.0,7964.364134240543,0.0,2413.3867775258195,0.0,2161.56
baseline_ice_car,kern,925.9812913282025,2165.000678414255,0.0,6026.715128251622,680.8301383277467,556.0160129387216,5243.505154639175
full_electric_ev,kern,1625.4228171938478,2165.000678414255,8039.394486922469,0.0,1189.7518590703685,0.0,2161.56
full_electric_ev_coopt,kern,470.07001333480616,0.0,8039.394486922469,0.0,2815.87094470542,0.0,2161.56
baseline_ice_car,kings,889.168579440537,2165.000678414255,0.0,6026.715128251622,653.4767021395494,1107.7032536620368,5204.907216494845
