County,Total Project Cost per Unit ($),Total Incentive Received by Contractor ($),Uniform Energy Factor
Alameda County,20855.0,1000.0,3.5
Alpine County,24962.0,1000.0,
Amador County,22291.5,1250.0,3.45
Butte County,16500.0,1000.0,3.45
Calaveras County,21054.7,1000.0,3.75
Colusa County,17720.0,3000.0,3.42
Contra Costa County,22413.5,1000.0,3.75
Del Norte County,10212.0,8200.0,
El Dorado County,23892.9,1000.0,3.39
Fresno County,21249.0,1000.0,3.45
Glenn County,16280.0,1000.0,
Humboldt County,18350.0,1000.0,
Imperial County,14448.0,3000.0,
Kern County,16185.0,1000.0,3.0
Kings County,19162.0,1000.0,
Lake County,18814.5,1000.0,
Lassen County,11924.5,1000.0,
Los Angeles County,19800.0,1000.0,3.59
Madera County,20003.65,1000.0,3.75
Marin County,23729.0,1000.0,3.75
Mariposa County,17050.2,1000.0,
Mendocino County,18128.0,3800.0,3.85
Merced County,16675.1,1000.0,3.57
Monterey County,16000.0,2500.0,3.75
Napa County,20616.75,1000.0,3.8
Nevada County,16953.0,1000.0,
Orange County,17242.04,1000.0,3.5
Placer County,21287.0,1000.0,3.45
Riverside County,16042.63,1000.0,3.46
Sacramento County,20022.0,1000.0,3.46
San Benito County,19773.84,1250.0,
San Bernardino County,21427.36,1000.0,3.75
San Diego County,16415.15,1000.0,3.75
San Francisco County,18555.05,1000.0,3.75
San Joaquin County,20726.0,1000.0,3.62
San Luis Obispo County,16882.0,3000.0,3.45
San Mateo County,19657.46,1000.0,3.75
Santa Barbara County,18531.0,3000.0,3.88
Santa Clara County,19956.0,1000.0,3.75
Santa Cruz County,19393.47,3500.0,3.88
Shasta County,16666.0,1000.0,3.45
Siskiyou County,38457.0,1000.0,
Solano County,21448.0,1000.0,3.46
Sonoma County,23000.0,1000.0,3.75
Stanislaus County,18011.0,1000.0,3.39
Sutter County,19444.0,1000.0,3.39
Tehama County,16523.0,1000.0,3.45
Trinity County,17085.0,1000.0,
Tulare County,24416.07,1000.0,
Tuolumne County,19980.0,1000.0,3.75
Ventura County,21181.5,1000.0,3.56
Yolo County,20332.5,1000.0,3.75
Yuba County,19503.5,1000.0,3.57
California Median,19444.0,1000.0,3.57
