County,Total Project Cost per Unit ($),Total Incentive Received by Contractor ($),Uniform Energy Factor
Alameda County,7977.0,4200.0,3.64
Amador County,5400.0,3100.0,3.45
Butte County,4550.0,3100.0,3.7
Calaveras County,6568.0,3800.0,4.05
Colusa County,4592.3,4500.0,3.42
Contra Costa County,7977.0,4000.0,3.75
El Dorado County,5671.0,3800.0,3.7
Fresno County,8742.0,8740.0,4.05
Glenn County,4750.0,3100.0,3.8
Kern County,3931.37,3800.0,3.3
Kings County,8885.0,8885.0,4.05
Lake County,14132.6,4800.0,4.06
Los Angeles County,5016.54,4185.0,3.8
Madera County,7775.0,7775.0,3.75
Marin County,9187.5,3800.0,3.85
Mendocino County,7950.0,3825.0,3.92
Merced County,8905.0,8685.0,3.64
Monterey County,6950.0,6500.0,3.88
Napa County,7994.5,3100.0,3.8
Nevada County,8302.29,4842.5,3.79
Orange County,5372.0,3800.0,3.75
Placer County,5976.0,3800.0,3.7
Riverside County,7818.0,6968.0,4.05
Sacramento County,6600.0,6300.0,3.7
San Bernardino County,4183.47,3800.0,3.75
San Diego County,8885.0,5322.75,3.83
San Francisco County,9100.0,5700.0,3.7
San Joaquin County,7385.0,4700.0,3.64
San Luis Obispo County,7536.8,5300.0,3.7
San Mateo County,7869.0,5800.0,3.75
Santa Barbara County,6490.39,6385.0,3.88
Santa Clara County,7449.56,4700.0,3.8
Santa Cruz County,8201.87,5300.0,3.88
Shasta County,5500.0,3800.0,3.64
Siskiyou County,5100.0,3800.0,3.64
Solano County,7700.0,4800.0,3.75
Sonoma County,7700.0,4000.0,3.85
Stanislaus County,6231.64,3100.0,3.44
Sutter County,4900.0,3800.0,3.7
Tehama County,6476.5,4500.0,3.45
Tulare County,8885.0,8885.0,4.05
Tuolumne County,5873.0,3800.0,3.88
Ventura County,7624.0,4700.0,3.64
Yolo County,6997.0,4100.0,3.75
Yuba County,6032.46,3100.0,3.57
California Median,7385.0,4200.0,3.75
