utility,county_slug,climate_zone
PG&E,alameda,CZ3A
PG&E,alpine,CZ16
PG&E,amador,CZ12
PG&E,butte,CZ11
PG&E,calaveras,CZ12
PG&E,colusa,CZ11
PG&E,contra-costa,CZ12
PG&E,del-norte,CZ1
PG&E,el-dorado,CZ12
PG&E,fresno,CZ13
PG&E,glenn,CZ11
PG&E,humboldt,CZ1
PG&E,kings,CZ13
PG&E,lake,CZ2
PG&E,lassen,CZ16
PG&E,madera,CZ13
PG&E,marin,CZ2
PG&E,mariposa,CZ12
PG&E,mendocino,CZ2
PG&E,merced,CZ12
PG&E,monterey,CZ3A
PG&E,napa,CZ2
PG&E,nevada,CZ11
PG&E,placer,CZ11
PG&E,plumas,CZ16
PG&E,sacramento,CZ12
PG&E,san-benito,CZ4
PG&E,san-francisco,CZ3A
PG&E,san-joaquin,CZ12
PG&E,san-mateo,CZ3A
PG&E,santa-barbara,CZ6
PG&E,santa-clara,CZ4
PG&E,santa-cruz,CZ3A
PG&E,shasta,CZ11
PG&E,sierra,CZ16
PG&E,siskiyou,CZ16
PG&E,solano,CZ12
PG&E,sonoma,CZ2
PG&E,stanislaus,CZ12
PG&E,sutter,CZ11
PG&E,tehama,CZ11
PG&E,trinity,CZ16
PG&E,tuolumne,CZ12
PG&E,yolo,CZ12
PG&E,yuba,CZ11
SCE,imperial,CZ15
SCE,inyo,CZ14
SCE,kern,CZ14
SCE,los-angeles,CZ9
SCE,mono,CZ14
SCE,orange,CZ8
SCE,riverside,CZ10
SCE,san-bernardino,CZ10
SCE,san-luis-obispo,CZ6
SCE,tulare,CZ14
SCE,ventura,CZ9
SDG&E,san-diego,CZ7
