Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0599,0.059,0.0577,0.0559,0.0538,0.0516,0.0494,0.0473,0.0455,0.0442,0.0433,0.043,0.0433,0.0442,0.0455,0.0473,0.0494,0.0516,0.0538,0.0559,0.0577,0.059,0.0599,0.0602
Feb,0.0685,0.0676,0.0663,0.0645,0.0624,0.0602,0.058,0.0559,0.0541,0.0528,0.0519,0.0516,0.0519,0.0528,0.0541,0.0559,0.058,0.0602,0.0624,0.0645,0.0663,0.0676,0.0685,0.0688
Mar,0.0748,0.0739,0.0726,0.0708,0.0687,0.0665,0.0643,0.0622,0.0604,0.059,0.0582,0.0579,0.0582,0.059,0.0604,0.0622,0.0643,0.0665,0.0687,0.0708,0.0726,0.0739,0.0748,0.0751
Apr,0.0771,0.0762,0.0749,0.0731,0.071,0.0688,0.0666,0.0645,0.0627,0.0614,0.0605,0.0602,0.0605,0.0614,0.0627,0.0645,0.0666,0.0688,0.071,0.0731,0.0749,0.0762,0.0771,0.0774
May,0.0748,0.0739,0.0726,0.0708,0.0687,0.0665,0.0643,0.0622,0.0604,0.059,0.0582,0.0579,0.0582,0.059,0.0604,0.0622,0.0643,0.0665,0.0687,0.0708,0.0726,0.0739,0.0748,0.0751
Jun,0.0685,0.0676,0.0663,0.0645,0.0624,0.0602,0.058,0.0559,0.0541,0.0528,0.0519,0.0516,0.0519,0.0528,0.0541,0.0559,0.058,0.0602,0.0624,0.0645,0.0663,0.0676,0.0685,0.0688
Jul,0.0599,0.059,0.0577,0.0559,0.0538,0.0516,0.0494,0.0473,0.0455,0.0442,0.0433,0.043,0.0433,0.0442,0.0455,0.0473,0.0494,0.0516,0.0538,0.0559,0.0577,0.059,0.0599,0.0602
Aug,0.0513,0.0504,0.0491,0.0473,0.0452,0.043,0.0408,0.0387,0.0369,0.0356,0.0347,0.0344,0.0347,0.0356,0.0369,0.0387,0.0408,0.043,0.0452,0.0473,0.0491,0.0504,0.0513,0.0516
Sep,0.045,0.0442,0.0428,0.041,0.0389,0.0367,0.0345,0.0324,0.0306,0.0293,0.0284,0.0281,0.0284,0.0293,0.0306,0.0324,0.0345,0.0367,0.0389,0.041,0.0428,0.0442,0.045,0.0453
Oct,0.0427,0.0418,0.0405,0.0387,0.0366,0.0344,0.0322,0.0301,0.0283,0.027,0.0261,0.0258,0.0261,0.027,0.0283,0.0301,0.0322,0.0344,0.0366,0.0387,0.0405,0.0418,0.0427,0.043
Nov,0.045,0.0442,0.0428,0.041,0.0389,0.0367,0.0345,0.0324,0.0306,0.0293,0.0284,0.0281,0.0284,0.0293,0.0306,0.0324,0.0345,0.0367,0.0389,0.041,0.0428,0.0442,0.045,0.0453
Dec,0.0513,0.0504,0.0491,0.0473,0.0452,0.043,0.0408,0.0387,0.0369,0.0356,0.0347,0.0344,0.0347,0.0356,0.0369,0.0387,0.0408,0.043,0.0452,0.0473,0.0491,0.0504,0.0513,0.0516
