Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0627,0.0618,0.0604,0.0585,0.0563,0.054,0.0517,0.0495,0.0476,0.0462,0.0453,0.045,0.0453,0.0462,0.0476,0.0495,0.0517,0.054,0.0563,0.0585,0.0604,0.0618,0.0627,0.063
Feb,0.0717,0.0708,0.0694,0.0675,0.0653,0.063,0.0607,0.0585,0.0566,0.0552,0.0543,0.054,0.0543,0.0552,0.0566,0.0585,0.0607,0.063,0.0653,0.0675,0.0694,0.0708,0.0717,0.072
Mar,0.0783,0.0774,0.076,0.0741,0.0719,0.0696,0.0673,0.0651,0.0632,0.0618,0.0609,0.0606,0.0609,0.0618,0.0632,0.0651,0.0673,0.0696,0.0719,0.0741,0.076,0.0774,0.0783,0.0786
Apr,0.0807,0.0798,0.0784,0.0765,0.0743,0.072,0.0697,0.0675,0.0656,0.0642,0.0633,0.063,0.0633,0.0642,0.0656,0.0675,0.0697,0.072,0.0743,0.0765,0.0784,0.0798,0.0807,0.081
May,0.0783,0.0774,0.076,0.0741,0.0719,0.0696,0.0673,0.0651,0.0632,0.0618,0.0609,0.0606,0.0609,0.0618,0.0632,0.0651,0.0673,0.0696,0.0719,0.0741,0.076,0.0774,0.0783,0.0786
Jun,0.0717,0.0708,0.0694,0.0675,0.0653,0.063,0.0607,0.0585,0.0566,0.0552,0.0543,0.054,0.0543,0.0552,0.0566,0.0585,0.0607,0.063,0.0653,0.0675,0.0694,0.0708,0.0717,0.072
Jul,0.0627,0.0618,0.0604,0.0585,0.0563,0.054,0.0517,0.0495,0.0476,0.0462,0.0453,0.045,0.0453,0.0462,0.0476,0.0495,0.0517,0.054,0.0563,0.0585,0.0604,0.0618,0.0627,0.063
Aug,0.0537,0.0528,0.0514,0.0495,0.0473,0.045,0.0427,0.0405,0.0386,0.0372,0.0363,0.036,0.0363,0.0372,0.0386,0.0405,0.0427,0.045,0.0473,0.0495,0.0514,0.0528,0.0537,0.054
Sep,0.0471,0.0462,0.0448,0.0429,0.0407,0.0384,0.0361,0.0339,0.032,0.0306,0.0297,0.0294,0.0297,0.0306,0.032,0.0339,0.0361,0.0384,0.0407,0.0429,0.0448,0.0462,0.0471,0.0474
Oct,0.0447,0.0438,0.0424,0.0405,0.0383,0.036,0.0337,0.0315,0.0296,0.0282,0.0273,0.027,0.0273,0.0282,0.0296,0.0315,0.0337,0.036,0.0383,0.0405,0.0424,0.0438,0.0447,0.045
Nov,0.0471,0.0462,0.0448,0.0429,0.0407,0.0384,0.0361,0.0339,0.032,0.0306,0.0297,0.0294,0.0297,0.0306,0.032,0.0339,0.0361,0.0384,0.0407,0.0429,0.0448,0.0462,0.0471,0.0474
Dec,0.0537,0.0528,0.0514,0.0495,0.0473,0.045,0.0427,0.0405,0.0386,0.0372,0.0363,0.036,0.0363,0.0372,0.0386,0.0405,0.0427,0.045,0.0473,0.0495,0.0514,0.0528,0.0537,0.054
