Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0641,0.0632,0.0617,0.0598,0.0576,0.0552,0.0528,0.0506,0.0487,0.0472,0.0463,0.046,0.0463,0.0472,0.0487,0.0506,0.0528,0.0552,0.0576,0.0598,0.0617,0.0632,0.0641,0.0644
Feb,0.0733,0.0724,0.0709,0.069,0.0668,0.0644,0.062,0.0598,0.0579,0.0564,0.0555,0.0552,0.0555,0.0564,0.0579,0.0598,0.062,0.0644,0.0668,0.069,0.0709,0.0724,0.0733,0.0736
Mar,0.08,0.0791,0.0776,0.0757,0.0735,0.0711,0.0688,0.0665,0.0646,0.0632,0.0622,0.0619,0.0622,0.0632,0.0646,0.0665,0.0688,0.0711,0.0735,0.0757,0.0776,0.0791,0.08,0.0803
Apr,0.0825,0.0816,0.0801,0.0782,0.076,0.0736,0.0712,0.069,0.0671,0.0656,0.0647,0.0644,0.0647,0.0656,0.0671,0.069,0.0712,0.0736,0.076,0.0782,0.0801,0.0816,0.0825,0.0828
May,0.08,0.0791,0.0776,0.0757,0.0735,0.0711,0.0688,0.0665,0.0646,0.0632,0.0622,0.0619,0.0622,0.0632,0.0646,0.0665,0.0688,0.0711,0.0735,0.0757,0.0776,0.0791,0.08,0.0803
Jun,0.0733,0.0724,0.0709,0.069,0.0668,0.0644,0.062,0.0598,0.0579,0.0564,0.0555,0.0552,0.0555,0.0564,0.0579,0.0598,0.062,0.0644,0.0668,0.069,0.0709,0.0724,0.0733,0.0736
Jul,0.0641,0.0632,0.0617,0.0598,0.0576,0.0552,0.0528,0.0506,0.0487,0.0472,0.0463,0.046,0.0463,0.0472,0.0487,0.0506,0.0528,0.0552,0.0576,0.0598,0.0617,0.0632,0.0641,0.0644
Aug,0.0549,0.054,0.0525,0.0506,0.0484,0.046,0.0436,0.0414,0.0395,0.038,0.0371,0.0368,0.0371,0.038,0.0395,0.0414,0.0436,0.046,0.0484,0.0506,0.0525,0.054,0.0549,0.0552
Sep,0.0482,0.0472,0.0458,0.0439,0.0416,0.0393,0.0369,0.0347,0.0328,0.0313,0.0304,0.0301,0.0304,0.0313,0.0328,0.0347,0.0369,0.0393,0.0416,0.0439,0.0458,0.0472,0.0482,0.0485
Oct,0.0457,0.0448,0.0433,0.0414,0.0392,0.0368,0.0344,0.0322,0.0303,0.0288,0.0279,0.0276,0.0279,0.0288,0.0303,0.0322,0.0344,0.0368,0.0392,0.0414,0.0433,0.0448,0.0457,0.046
Nov,0.0482,0.0472,0.0458,0.0439,0.0416,0.0393,0.0369,0.0347,0.0328,0.0313,0.0304,0.0301,0.0304,0.0313,0.0328,0.0347,0.0369,0.0393,0.0416,0.0439,0.0458,0.0472,0.0482,0.0485
Dec,0.0549,0.054,0.0525,0.0506,0.0484,0.046,0.0436,0.0414,0.0395,0.038,0.0371,0.0368,0.0371,0.038,0.0395,0.0414,0.0436,0.046,0.0484,0.0506,0.0525,0.054,0.0549,0.0552
