Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0675,0.0663,0.0645,0.0621,0.0593,0.0563,0.0532,0.0504,0.048,0.0462,0.045,0.0446,0.045,0.0462,0.048,0.0504,0.0532,0.0563,0.0593,0.0621,0.0645,0.0663,0.0675,0.0679
Feb,0.0796,0.0785,0.0766,0.0742,0.0714,0.0684,0.0654,0.0626,0.0602,0.0583,0.0571,0.0567,0.0571,0.0583,0.0602,0.0626,0.0654,0.0684,0.0714,0.0742,0.0766,0.0785,0.0796,0.08
Mar,0.0885,0.0873,0.0855,0.0831,0.0803,0.0773,0.0742,0.0714,0.069,0.0672,0.066,0.0656,0.066,0.0672,0.069,0.0714,0.0742,0.0773,0.0803,0.0831,0.0855,0.0873,0.0885,0.0889
Apr,0.0918,0.0906,0.0887,0.0863,0.0835,0.0805,0.0775,0.0747,0.0723,0.0704,0.0693,0.0689,0.0693,0.0704,0.0723,0.0747,0.0775,0.0805,0.0835,0.0863,0.0887,0.0906,0.0918,0.0922
May,0.0885,0.0873,0.0855,0.0831,0.0803,0.0773,0.0742,0.0714,0.069,0.0672,0.066,0.0656,0.066,0.0672,0.069,0.0714,0.0742,0.0773,0.0803,0.0831,0.0855,0.0873,0.0885,0.0889
Jun,0.0796,0.0785,0.0766,0.0742,0.0714,0.0684,0.0654,0.0626,0.0602,0.0583,0.0571,0.0567,0.0571,0.0583,0.0602,0.0626,0.0654,0.0684,0.0714,0.0742,0.0766,0.0785,0.0796,0.08
Jul,0.0675,0.0663,0.0645,0.0621,0.0593,0.0563,0.0532,0.0504,0.048,0.0462,0.045,0.0446,0.045,0.0462,0.048,0.0504,0.0532,0.0563,0.0593,0.0621,0.0645,0.0663,0.0675,0.0679
Aug,0.0554,0.0542,0.0524,0.05,0.0471,0.0441,0.0411,0.0383,0.0359,0.0341,0.0329,0.0325,0.0329,0.0341,0.0359,0.0383,0.0411,0.0441,0.0471,0.05,0.0524,0.0542,0.0554,0.0558
Sep,0.0465,0.0453,0.0435,0.0411,0.0383,0.0353,0.0322,0.0294,0.027,0.0252,0.024,0.0236,0.024,0.0252,0.027,0.0294,0.0322,0.0353,0.0383,0.0411,0.0435,0.0453,0.0465,0.0469
Oct,0.0433,0.0421,0.0402,0.0378,0.035,0.032,0.029,0.0262,0.0238,0.0219,0.0208,0.0204,0.0208,0.0219,0.0238,0.0262,0.029,0.032,0.035,0.0378,0.0402,0.0421,0.0433,0.0436
Nov,0.0465,0.0453,0.0435,0.0411,0.0383,0.0353,0.0322,0.0294,0.027,0.0252,0.024,0.0236,0.024,0.0252,0.027,0.0294,0.0322,0.0353,0.0383,0.0411,0.0435,0.0453,0.0465,0.0469
Dec,0.0554,0.0542,0.0524,0.05,0.0471,0.0441,0.0411,0.0383,0.0359,0.0341,0.0329,0.0325,0.0329,0.0341,0.0359,0.0383,0.0411,0.0441,0.0471,0.05,0.0524,0.0542,0.0554,0.0558
