Month/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,0.0627,0.0619,0.0607,0.059,0.0571,0.055,0.0529,0.051,0.0493,0.0481,0.0473,0.047,0.0473,0.0481,0.0493,0.051,0.0529,0.055,0.0571,0.059,0.0607,0.0619,0.0627,0.063
Feb,0.0727,0.0719,0.0707,0.069,0.0671,0.065,0.0629,0.061,0.0593,0.0581,0.0573,0.057,0.0573,0.0581,0.0593,0.061,0.0629,0.065,0.0671,0.069,0.0707,0.0719,0.0727,0.073
Mar,0.08,0.0792,0.078,0.0763,0.0744,0.0723,0.0702,0.0683,0.0667,0.0654,0.0646,0.0643,0.0646,0.0654,0.0667,0.0683,0.0702,0.0723,0.0744,0.0763,0.078,0.0792,0.08,0.0803
Apr,0.0827,0.0819,0.0807,0.079,0.0771,0.075,0.0729,0.071,0.0693,0.0681,0.0673,0.067,0.0673,0.0681,0.0693,0.071,0.0729,0.075,0.0771,0.079,0.0807,0.0819,0.0827,0.083
May,0.08,0.0792,0.078,0.0763,0.0744,0.0723,0.0702,0.0683,0.0667,0.0654,0.0646,0.0643,0.0646,0.0654,0.0667,0.0683,0.0702,0.0723,0.0744,0.0763,0.078,0.0792,0.08,0.0803
Jun,0.0727,0.0719,0.0707,0.069,0.0671,0.065,0.0629,0.061,0.0593,0.0581,0.0573,0.057,0.0573,0.0581,0.0593,0.061,0.0629,0.065,0.0671,0.069,0.0707,0.0719,0.0727,0.073
Jul,0.0627,0.0619,0.0607,0.059,0.0571,0.055,0.0529,0.051,0.0493,0.0481,0.0473,0.047,0.0473,0.0481,0.0493,0.051,0.0529,0.055,0.0571,0.059,0.0607,0.0619,0.0627,0.063
Aug,0.0527,0.0519,0.0507,0.049,0.0471,0.045,0.0429,0.041,0.0393,0.0381,0.0373,0.037,0.0373,0.0381,0.0393,0.041,0.0429,0.045,0.0471,0.049,0.0507,0.0519,0.0527,0.053
Sep,0.0454,0.0446,0.0433,0.0417,0.0398,0.0377,0.0356,0.0337,0.032,0.0308,0.03,0.0297,0.03,0.0308,0.032,0.0337,0.0356,0.0377,0.0398,0.0417,0.0433,0.0446,0.0454,0.0457
Oct,0.0427,0.0419,0.0407,0.039,0.0371,0.035,0.0329,0.031,0.0293,0.0281,0.0273,0.027,0.0273,0.0281,0.0293,0.031,0.0329,0.035,0.0371,0.039,0.0407,0.0419,0.0427,0.043
Nov,0.0454,0.0446,0.0433,0.0417,0.0398,0.0377,0.0356,0.0337,0.032,0.0308,0.03,0.0297,0.03,0.0308,0.032,0.0337,0.0356,0.0377,0.0398,0.0417,0.0433,0.0446,0.0454,0.0457
Dec,0.0527,0.0519,0.0507,0.049,0.0471,0.045,0.0429,0.041,0.0393,0.0381,0.0373,0.037,0.0373,0.0381,0.0393,0.041,0.0429,0.045,0.0471,0.049,0.0507,0.0519,0.0527,0.053
