month,hour,rate
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
1,1,0.0752
2,1,0.086
3,1,0.0939
4,1,0.0968
5,1,0.0939
6,1,0.086
7,1,0.0752
8,1,0.0644
9,1,0.0565
10,1,0.0536
11,1,0.0565
12,1,0.0644
1,2,0.0742
2,2,0.085
3,2,0.0929
4,2,0.0958
5,2,0.0929
6,2,0.085
7,2,0.0742
8,2,0.0634
9,2,0.0554
10,2,0.0526
11,2,0.0554
12,2,0.0634
1,3,0.0724
2,3,0.0832
3,3,0.0911
4,3,0.094
5,3,0.0911
6,3,0.0832
7,3,0.0724
8,3,0.0616
9,3,0.0537
10,3,0.0508
11,3,0.0537
12,3,0.0616
1,4,0.0702
2,4,0.081
3,4,0.0889
4,4,0.0918
5,4,0.0889
6,4,0.081
7,4,0.0702
8,4,0.0594
9,4,0.0515
10,4,0.0486
11,4,0.0515
12,4,0.0594
1,5,0.0676
2,5,0.0784
3,5,0.0863
4,5,0.0892
5,5,0.0863
6,5,0.0784
7,5,0.0676
8,5,0.0568
9,5,0.0489
10,5,0.046
11,5,0.0489
12,5,0.0568
1,6,0.0648
2,6,0.0756
3,6,0.0835
4,6,0.0864
5,6,0.0835
6,6,0.0756
7,6,0.0648
8,6,0.054
9,6,0.0461
10,6,0.0432
11,6,0.0461
12,6,0.054
1,7,0.062
2,7,0.0728
3,7,0.0807
4,7,0.0836
5,7,0.0807
6,7,0.0728
7,7,0.062
8,7,0.0512
9,7,0.0433
10,7,0.0404
11,7,0.0433
12,7,0.0512
1,8,0.0594
2,8,0.0702
3,8,0.0781
4,8,0.081
5,8,0.0781
6,8,0.0702
7,8,0.0594
8,8,0.0486
9,8,0.0407
10,8,0.0378
11,8,0.0407
12,8,0.0486
1,9,0.0572
2,9,0.068
3,9,0.0759
4,9,0.0788
5,9,0.0759
6,9,0.068
7,9,0.0572
8,9,0.0464
9,9,0.0385
10,9,0.0356
11,9,0.0385
12,9,0.0464
1,10,0.0554
2,10,0.0662
3,10,0.0742
4,10,0.077
5,10,0.0742
6,10,0.0662
7,10,0.0554
8,10,0.0446
9,10,0.0367
10,10,0.0338
11,10,0.0367
12,10,0.0446
1,11,0.0544
2,11,0.0652
3,11,0.0731
4,11,0.076
5,11,0.0731
6,11,0.0652
7,11,0.0544
8,11,0.0436
9,11,0.0357
10,11,0.0328
11,11,0.0357
12,11,0.0436
1,12,0.054
2,12,0.0648
3,12,0.0727
4,12,0.0756
5,12,0.0727
6,12,0.0648
7,12,0.054
8,12,0.0432
9,12,0.0353
10,12,0.0324
11,12,0.0353
12,12,0.0432
1,13,0.0544
2,13,0.0652
3,13,0.0731
4,13,0.076
5,13,0.0731
6,13,0.0652
7,13,0.0544
8,13,0.0436
9,13,0.0357
10,13,0.0328
11,13,0.0357
12,13,0.0436
1,14,0.0554
2,14,0.0662
3,14,0.0742
4,14,0.077
5,14,0.0742
6,14,0.0662
7,14,0.0554
8,14,0.0446
9,14,0.0367
10,14,0.0338
11,14,0.0367
12,14,0.0446
1,15,0.0572
2,15,0.068
3,15,0.0759
4,15,0.0788
5,15,0.0759
6,15,0.068
7,15,0.0572
8,15,0.0464
9,15,0.0385
10,15,0.0356
11,15,0.0385
12,15,0.0464
1,16,0.0594
2,16,0.0702
3,16,0.0781
4,16,0.081
5,16,0.0781
6,16,0.0702
7,16,0.0594
8,16,0.0486
9,16,0.0407
10,16,0.0378
11,16,0.0407
12,16,0.0486
1,17,0.062
2,17,0.0728
3,17,0.0807
4,17,0.0836
5,17,0.0807
6,17,0.0728
7,17,0.062
8,17,0.0512
9,17,0.0433
10,17,0.0404
11,17,0.0433
12,17,0.0512
1,18,0.0648
2,18,0.0756
3,18,0.0835
4,18,0.0864
5,18,0.0835
6,18,0.0756
7,18,0.0648
8,18,0.054
9,18,0.0461
10,18,0.0432
11,18,0.0461
12,18,0.054
1,19,0.0676
2,19,0.0784
3,19,0.0863
4,19,0.0892
5,19,0.0863
6,19,0.0784
7,19,0.0676
8,19,0.0568
9,19,0.0489
10,19,0.046
11,19,0.0489
12,19,0.0568
1,20,0.0702
2,20,0.081
3,20,0.0889
4,20,0.0918
5,20,0.0889
6,20,0.081
7,20,0.0702
8,20,0.0594
9,20,0.0515
10,20,0.0486
11,20,0.0515
12,20,0.0594
1,21,0.0724
2,21,0.0832
3,21,0.0911
4,21,0.094
5,21,0.0911
6,21,0.0832
7,21,0.0724
8,21,0.0616
9,21,0.0537
10,21,0.0508
11,21,0.0537
12,21,0.0616
1,22,0.0742
2,22,0.085
3,22,0.0929
4,22,0.0958
5,22,0.0929
6,22,0.085
7,22,0.0742
8,22,0.0634
9,22,0.0554
10,22,0.0526
11,22,0.0554
12,22,0.0634
1,23,0.0752
2,23,0.086
3,23,0.0939
4,23,0.0968
5,23,0.0939
6,23,0.086
7,23,0.0752
8,23,0.0644
9,23,0.0565
10,23,0.0536
11,23,0.0565
12,23,0.0644
