month,hour,rate
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
1,1,0.0627
2,1,0.0717
3,1,0.0783
4,1,0.0807
5,1,0.0783
6,1,0.0717
7,1,0.0627
8,1,0.0537
9,1,0.0471
10,1,0.0447
11,1,0.0471
12,1,0.0537
1,2,0.0618
2,2,0.0708
3,2,0.0774
4,2,0.0798
5,2,0.0774
6,2,0.0708
7,2,0.0618
8,2,0.0528
9,2,0.0462
10,2,0.0438
11,2,0.0462
12,2,0.0528
1,3,0.0604
2,3,0.0694
3,3,0.076
4,3,0.0784
5,3,0.076
6,3,0.0694
7,3,0.0604
8,3,0.0514
9,3,0.0448
10,3,0.0424
11,3,0.0448
12,3,0.0514
1,4,0.0585
2,4,0.0675
3,4,0.0741
4,4,0.0765
5,4,0.0741
6,4,0.0675
7,4,0.0585
8,4,0.0495
9,4,0.0429
10,4,0.0405
11,4,0.0429
12,4,0.0495
1,5,0.0563
2,5,0.0653
3,5,0.0719
4,5,0.0743
5,5,0.0719
6,5,0.0653
7,5,0.0563
8,5,0.0473
9,5,0.0407
10,5,0.0383
11,5,0.0407
12,5,0.0473
1,6,0.054
2,6,0.063
3,6,0.0696
4,6,0.072
5,6,0.0696
6,6,0.063
7,6,0.054
8,6,0.045
9,6,0.0384
10,6,0.036
11,6,0.0384
12,6,0.045
1,7,0.0517
2,7,0.0607
3,7,0.0673
4,7,0.0697
5,7,0.0673
6,7,0.0607
7,7,0.0517
8,7,0.0427
9,7,0.0361
10,7,0.0337
11,7,0.0361
12,7,0.0427
1,8,0.0495
2,8,0.0585
3,8,0.0651
4,8,0.0675
5,8,0.0651
6,8,0.0585
7,8,0.0495
8,8,0.0405
9,8,0.0339
10,8,0.0315
11,8,0.0339
12,8,0.0405
1,9,0.0476
2,9,0.0566
3,9,0.0632
4,9,0.0656
5,9,0.0632
6,9,0.0566
7,9,0.0476
8,9,0.0386
9,9,0.032
10,9,0.0296
11,9,0.032
12,9,0.0386
1,10,0.0462
2,10,0.0552
3,10,0.0618
4,10,0.0642
5,10,0.0618
6,10,0.0552
7,10,0.0462
8,10,0.0372
9,10,0.0306
10,10,0.0282
11,10,0.0306
12,10,0.0372
1,11,0.0453
2,11,0.0543
3,11,0.0609
4,11,0.0633
5,11,0.0609
6,11,0.0543
7,11,0.0453
8,11,0.0363
9,11,0.0297
10,11,0.0273
11,11,0.0297
12,11,0.0363
1,12,0.045
2,12,0.054
3,12,0.0606
4,12,0.063
5,12,0.0606
6,12,0.054
7,12,0.045
8,12,0.036
9,12,0.0294
10,12,0.027
11,12,0.0294
12,12,0.036
1,13,0.0453
2,13,0.0543
3,13,0.0609
4,13,0.0633
5,13,0.0609
6,13,0.0543
7,13,0.0453
8,13,0.0363
9,13,0.0297
10,13,0.0273
11,13,0.0297
12,13,0.0363
1,14,0.0462
2,14,0.0552
3,14,0.0618
4,14,0.0642
5,14,0.0618
6,14,0.0552
7,14,0.0462
8,14,0.0372
9,14,0.0306
10,14,0.0282
11,14,0.0306
12,14,0.0372
1,15,0.0476
2,15,0.0566
3,15,0.0632
4,15,0.0656
5,15,0.0632
6,15,0.0566
7,15,0.0476
8,15,0.0386
9,15,0.032
10,15,0.0296
11,15,0.032
12,15,0.0386
1,16,0.0495
2,16,0.0585
3,16,0.0651
4,16,0.0675
5,16,0.0651
6,16,0.0585
7,16,0.0495
8,16,0.0405
9,16,0.0339
10,16,0.0315
11,16,0.0339
12,16,0.0405
1,17,0.0517
2,17,0.0607
3,17,0.0673
4,17,0.0697
5,17,0.0673
6,17,0.0607
7,17,0.0517
8,17,0.0427
9,17,0.0361
10,17,0.0337
11,17,0.0361
12,17,0.0427
1,18,0.054
2,18,0.063
3,18,0.0696
4,18,0.072
5,18,0.0696
6,18,0.063
7,18,0.054
8,18,0.045
9,18,0.0384
10,18,0.036
11,18,0.0384
12,18,0.045
1,19,0.0563
2,19,0.0653
3,19,0.0719
4,19,0.0743
5,19,0.0719
6,19,0.0653
7,19,0.0563
8,19,0.0473
9,19,0.0407
10,19,0.0383
11,19,0.0407
12,19,0.0473
1,20,0.0585
2,20,0.0675
3,20,0.0741
4,20,0.0765
5,20,0.0741
6,20,0.0675
7,20,0.0585
8,20,0.0495
9,20,0.0429
10,20,0.0405
11,20,0.0429
12,20,0.0495
1,21,0.0604
2,21,0.0694
3,21,0.076
4,21,0.0784
5,21,0.076
6,21,0.0694
7,21,0.0604
8,21,0.0514
9,21,0.0448
10,21,0.0424
11,21,0.0448
12,21,0.0514
1,22,0.0618
2,22,0.0708
3,22,0.0774
4,22,0.0798
5,22,0.0774
6,22,0.0708
7,22,0.0618
8,22,0.0528
9,22,0.0462
10,22,0.0438
11,22,0.0462
12,22,0.0528
1,23,0.0627
2,23,0.0717
3,23,0.0783
4,23,0.0807
5,23,0.0783
6,23,0.0717
7,23,0.0627
8,23,0.0537
9,23,0.0471
10,23,0.0447
11,23,0.0471
12,23,0.0537
