month,hour,rate
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
1,1,0.0641
2,1,0.0733
3,1,0.08
4,1,0.0825
5,1,0.08
6,1,0.0733
7,1,0.0641
8,1,0.0549
9,1,0.0482
10,1,0.0457
11,1,0.0482
12,1,0.0549
1,2,0.0632
2,2,0.0724
3,2,0.0791
4,2,0.0816
5,2,0.0791
6,2,0.0724
7,2,0.0632
8,2,0.054
9,2,0.0472
10,2,0.0448
11,2,0.0472
12,2,0.054
1,3,0.0617
2,3,0.0709
3,3,0.0776
4,3,0.0801
5,3,0.0776
6,3,0.0709
7,3,0.0617
8,3,0.0525
9,3,0.0458
10,3,0.0433
11,3,0.0458
12,3,0.0525
1,4,0.0598
2,4,0.069
3,4,0.0757
4,4,0.0782
5,4,0.0757
6,4,0.069
7,4,0.0598
8,4,0.0506
9,4,0.0439
10,4,0.0414
11,4,0.0439
12,4,0.0506
1,5,0.0576
2,5,0.0668
3,5,0.0735
4,5,0.076
5,5,0.0735
6,5,0.0668
7,5,0.0576
8,5,0.0484
9,5,0.0416
10,5,0.0392
11,5,0.0416
12,5,0.0484
1,6,0.0552
2,6,0.0644
3,6,0.0711
4,6,0.0736
5,6,0.0711
6,6,0.0644
7,6,0.0552
8,6,0.046
9,6,0.0393
10,6,0.0368
11,6,0.0393
12,6,0.046
1,7,0.0528
2,7,0.062
3,7,0.0688
4,7,0.0712
5,7,0.0688
6,7,0.062
7,7,0.0528
8,7,0.0436
9,7,0.0369
10,7,0.0344
11,7,0.0369
12,7,0.0436
1,8,0.0506
2,8,0.0598
3,8,0.0665
4,8,0.069
5,8,0.0665
6,8,0.0598
7,8,0.0506
8,8,0.0414
9,8,0.0347
10,8,0.0322
11,8,0.0347
12,8,0.0414
1,9,0.0487
2,9,0.0579
3,9,0.0646
4,9,0.0671
5,9,0.0646
6,9,0.0579
7,9,0.0487
8,9,0.0395
9,9,0.0328
10,9,0.0303
11,9,0.0328
12,9,0.0395
1,10,0.0472
2,10,0.0564
3,10,0.0632
4,10,0.0656
5,10,0.0632
6,10,0.0564
7,10,0.0472
8,10,0.038
9,10,0.0313
10,10,0.0288
11,10,0.0313
12,10,0.038
1,11,0.0463
2,11,0.0555
3,11,0.0622
4,11,0.0647
5,11,0.0622
6,11,0.0555
7,11,0.0463
8,11,0.0371
9,11,0.0304
10,11,0.0279
11,11,0.0304
12,11,0.0371
1,12,0.046
2,12,0.0552
3,12,0.0619
4,12,0.0644
5,12,0.0619
6,12,0.0552
7,12,0.046
8,12,0.0368
9,12,0.0301
10,12,0.0276
11,12,0.0301
12,12,0.0368
1,13,0.0463
2,13,0.0555
3,13,0.0622
4,13,0.0647
5,13,0.0622
6,13,0.0555
7,13,0.0463
8,13,0.0371
9,13,0.0304
10,13,0.0279
11,13,0.0304
12,13,0.0371
1,14,0.0472
2,14,0.0564
3,14,0.0632
4,14,0.0656
5,14,0.0632
6,14,0.0564
7,14,0.0472
8,14,0.038
9,14,0.0313
10,14,0.0288
11,14,0.0313
12,14,0.038
1,15,0.0487
2,15,0.0579
3,15,0.0646
4,15,0.0671
5,15,0.0646
6,15,0.0579
7,15,0.0487
8,15,0.0395
9,15,0.0328
10,15,0.0303
11,15,0.0328
12,15,0.0395
1,16,0.0506
2,16,0.0598
3,16,0.0665
4,16,0.069
5,16,0.0665
6,16,0.0598
7,16,0.0506
8,16,0.0414
9,16,0.0347
10,16,0.0322
11,16,0.0347
12,16,0.0414
1,17,0.0528
2,17,0.062
3,17,0.0688
4,17,0.0712
5,17,0.0688
6,17,0.062
7,17,0.0528
8,17,0.0436
9,17,0.0369
10,17,0.0344
11,17,0.0369
12,17,0.0436
1,18,0.0552
2,18,0.0644
3,18,0.0711
4,18,0.0736
5,18,0.0711
6,18,0.0644
7,18,0.0552
8,18,0.046
9,18,0.0393
10,18,0.0368
11,18,0.0393
12,18,0.046
1,19,0.0576
2,19,0.0668
3,19,0.0735
4,19,0.076
5,19,0.0735
6,19,0.0668
7,19,0.0576
8,19,0.0484
9,19,0.0416
10,19,0.0392
11,19,0.0416
12,19,0.0484
1,20,0.0598
2,20,0.069
3,20,0.0757
4,20,0.0782
5,20,0.0757
6,20,0.069
7,20,0.0598
8,20,0.0506
9,20,0.0439
10,20,0.0414
11,20,0.0439
12,20,0.0506
1,21,0.0617
2,21,0.0709
3,21,0.0776
4,21,0.0801
5,21,0.0776
6,21,0.0709
7,21,0.0617
8,21,0.0525
9,21,0.0458
10,21,0.0433
11,21,0.0458
12,21,0.0525
1,22,0.0632
2,22,0.0724
3,22,0.0791
4,22,0.0816
5,22,0.0791
6,22,0.0724
7,22,0.0632
8,22,0.054
9,22,0.0472
10,22,0.0448
11,22,0.0472
12,22,0.054
1,23,0.0641
2,23,0.0733
3,23,0.08
4,23,0.0825
5,23,0.08
6,23,0.0733
7,23,0.0641
8,23,0.0549
9,23,0.0482
10,23,0.0457
11,23,0.0482
12,23,0.0549
