month,hour,rate
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
1,1,0.0759
2,1,0.0895
3,1,0.0995
4,1,0.1031
5,1,0.0995
6,1,0.0895
7,1,0.0759
8,1,0.0622
9,1,0.0523
10,1,0.0486
11,1,0.0523
12,1,0.0622
1,2,0.0745
2,2,0.0882
3,2,0.0981
4,2,0.1018
5,2,0.0981
6,2,0.0882
7,2,0.0745
8,2,0.0609
9,2,0.0509
10,2,0.0473
11,2,0.0509
12,2,0.0609
1,3,0.0725
2,3,0.0861
3,3,0.0961
4,3,0.0997
5,3,0.0961
6,3,0.0861
7,3,0.0725
8,3,0.0588
9,3,0.0489
10,3,0.0452
11,3,0.0489
12,3,0.0588
1,4,0.0698
2,4,0.0834
3,4,0.0934
4,4,0.097
5,4,0.0934
6,4,0.0834
7,4,0.0698
8,4,0.0561
9,4,0.0462
10,4,0.0425
11,4,0.0462
12,4,0.0561
1,5,0.0666
2,5,0.0802
3,5,0.0902
4,5,0.0939
5,5,0.0902
6,5,0.0802
7,5,0.0666
8,5,0.053
9,5,0.043
10,5,0.0394
11,5,0.043
12,5,0.053
1,6,0.0632
2,6,0.0768
3,6,0.0868
4,6,0.0905
5,6,0.0868
6,6,0.0768
7,6,0.0632
8,6,0.0496
9,6,0.0396
10,6,0.036
11,6,0.0396
12,6,0.0496
1,7,0.0598
2,7,0.0735
3,7,0.0834
4,7,0.0871
5,7,0.0834
6,7,0.0735
7,7,0.0598
8,7,0.0462
9,7,0.0362
10,7,0.0326
11,7,0.0362
12,7,0.0462
1,8,0.0567
2,8,0.0703
3,8,0.0803
4,8,0.0839
5,8,0.0803
6,8,0.0703
7,8,0.0567
8,8,0.0431
9,8,0.0331
10,8,0.0294
11,8,0.0331
12,8,0.0431
1,9,0.054
2,9,0.0676
3,9,0.0776
4,9,0.0812
5,9,0.0776
6,9,0.0676
7,9,0.054
8,9,0.0403
9,9,0.0304
10,9,0.0267
11,9,0.0304
12,9,0.0403
1,10,0.0519
2,10,0.0655
3,10,0.0755
4,10,0.0791
5,10,0.0755
6,10,0.0655
7,10,0.0519
8,10,0.0383
9,10,0.0283
10,10,0.0246
11,10,0.0283
12,10,0.0383
1,11,0.0506
2,11,0.0642
3,11,0.0742
4,11,0.0778
5,11,0.0742
6,11,0.0642
7,11,0.0506
8,11,0.037
9,11,0.027
10,11,0.0233
11,11,0.027
12,11,0.037
1,12,0.0501
2,12,0.0638
3,12,0.0737
4,12,0.0774
5,12,0.0737
6,12,0.0638
7,12,0.0501
8,12,0.0365
9,12,0.0265
10,12,0.0229
11,12,0.0265
12,12,0.0365
1,13,0.0506
2,13,0.0642
3,13,0.0742
4,13,0.0778
5,13,0.0742
6,13,0.0642
7,13,0.0506
8,13,0.037
9,13,0.027
10,13,0.0233
11,13,0.027
12,13,0.037
1,14,0.0519
2,14,0.0655
3,14,0.0755
4,14,0.0791
5,14,0.0755
6,14,0.0655
7,14,0.0519
8,14,0.0383
9,14,0.0283
10,14,0.0246
11,14,0.0283
12,14,0.0383
1,15,0.054
2,15,0.0676
3,15,0.0776
4,15,0.0812
5,15,0.0776
6,15,0.0676
7,15,0.054
8,15,0.0403
9,15,0.0304
10,15,0.0267
11,15,0.0304
12,15,0.0403
1,16,0.0567
2,16,0.0703
3,16,0.0803
4,16,0.0839
5,16,0.0803
6,16,0.0703
7,16,0.0567
8,16,0.0431
9,16,0.0331
10,16,0.0294
11,16,0.0331
12,16,0.0431
1,17,0.0598
2,17,0.0735
3,17,0.0834
4,17,0.0871
5,17,0.0834
6,17,0.0735
7,17,0.0598
8,17,0.0462
9,17,0.0362
10,17,0.0326
11,17,0.0362
12,17,0.0462
1,18,0.0632
2,18,0.0768
3,18,0.0868
4,18,0.0905
5,18,0.0868
6,18,0.0768
7,18,0.0632
8,18,0.0496
9,18,0.0396
10,18,0.036
11,18,0.0396
12,18,0.0496
1,19,0.0666
2,19,0.0802
3,19,0.0902
4,19,0.0939
5,19,0.0902
6,19,0.0802
7,19,0.0666
8,19,0.053
9,19,0.043
10,19,0.0394
11,19,0.043
12,19,0.053
1,20,0.0698
2,20,0.0834
3,20,0.0934
4,20,0.097
5,20,0.0934
6,20,0.0834
7,20,0.0698
8,20,0.0561
9,20,0.0462
10,20,0.0425
11,20,0.0462
12,20,0.0561
1,21,0.0725
2,21,0.0861
3,21,0.0961
4,21,0.0997
5,21,0.0961
6,21,0.0861
7,21,0.0725
8,21,0.0588
9,21,0.0489
10,21,0.0452
11,21,0.0489
12,21,0.0588
1,22,0.0745
2,22,0.0882
3,22,0.0981
4,22,0.1018
5,22,0.0981
6,22,0.0882
7,22,0.0745
8,22,0.0609
9,22,0.0509
10,22,0.0473
11,22,0.0509
12,22,0.0609
1,23,0.0759
2,23,0.0895
3,23,0.0995
4,23,0.1031
5,23,0.0995
6,23,0.0895
7,23,0.0759
8,23,0.0622
9,23,0.0523
10,23,0.0486
11,23,0.0523
12,23,0.0622
