month,hour,rate
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
1,1,0.0643
2,1,0.0745
3,1,0.082
4,1,0.0848
5,1,0.082
6,1,0.0745
7,1,0.0643
8,1,0.054
9,1,0.0465
10,1,0.0438
11,1,0.0465
12,1,0.054
1,2,0.0635
2,2,0.0737
3,2,0.0812
4,2,0.084
5,2,0.0812
6,2,0.0737
7,2,0.0635
8,2,0.0532
9,2,0.0457
10,2,0.043
11,2,0.0457
12,2,0.0532
1,3,0.0622
2,3,0.0724
3,3,0.0799
4,3,0.0827
5,3,0.0799
6,3,0.0724
7,3,0.0622
8,3,0.0519
9,3,0.0444
10,3,0.0417
11,3,0.0444
12,3,0.0519
1,4,0.0605
2,4,0.0707
3,4,0.0782
4,4,0.081
5,4,0.0782
6,4,0.0707
7,4,0.0605
8,4,0.0502
9,4,0.0427
10,4,0.04
11,4,0.0427
12,4,0.0502
1,5,0.0585
2,5,0.0687
3,5,0.0763
4,5,0.079
5,5,0.0763
6,5,0.0687
7,5,0.0585
8,5,0.0482
9,5,0.0407
10,5,0.038
11,5,0.0407
12,5,0.0482
1,6,0.0564
2,6,0.0666
3,6,0.0741
4,6,0.0769
5,6,0.0741
6,6,0.0666
7,6,0.0564
8,6,0.0461
9,6,0.0386
10,6,0.0359
11,6,0.0386
12,6,0.0461
1,7,0.0543
2,7,0.0645
3,7,0.072
4,7,0.0748
5,7,0.072
6,7,0.0645
7,7,0.0543
8,7,0.044
9,7,0.0365
10,7,0.0338
11,7,0.0365
12,7,0.044
1,8,0.0523
2,8,0.0625
3,8,0.07
4,8,0.0728
5,8,0.07
6,8,0.0625
7,8,0.0523
8,8,0.042
9,8,0.0345
10,8,0.0318
11,8,0.0345
12,8,0.042
1,9,0.0506
2,9,0.0608
3,9,0.0683
4,9,0.0711
5,9,0.0683
6,9,0.0608
7,9,0.0506
8,9,0.0403
9,9,0.0328
10,9,0.0301
11,9,0.0328
12,9,0.0403
1,10,0.0493
2,10,0.0595
3,10,0.067
4,10,0.0698
5,10,0.067
6,10,0.0595
7,10,0.0493
8,10,0.039
9,10,0.0315
10,10,0.0288
11,10,0.0315
12,10,0.039
1,11,0.0485
2,11,0.0587
3,11,0.0662
4,11,0.069
5,11,0.0662
6,11,0.0587
7,11,0.0485
8,11,0.0382
9,11,0.0307
10,11,0.028
11,11,0.0307
12,11,0.0382
1,12,0.0482
2,12,0.0584
3,12,0.0659
4,12,0.0687
5,12,0.0659
6,12,0.0584
7,12,0.0482
8,12,0.0379
9,12,0.0304
10,12,0.0277
11,12,0.0304
12,12,0.0379
1,13,0.0485
2,13,0.0587
3,13,0.0662
4,13,0.069
5,13,0.0662
6,13,0.0587
7,13,0.0485
8,13,0.0382
9,13,0.0307
10,13,0.028
11,13,0.0307
12,13,0.0382
1,14,0.0493
2,14,0.0595
3,14,0.067
4,14,0.0698
5,14,0.067
6,14,0.0595
7,14,0.0493
8,14,0.039
9,14,0.0315
10,14,0.0288
11,14,0.0315
12,14,0.039
1,15,0.0506
2,15,0.0608
3,15,0.0683
4,15,0.0711
5,15,0.0683
6,15,0.0608
7,15,0.0506
8,15,0.0403
9,15,0.0328
10,15,0.0301
11,15,0.0328
12,15,0.0403
1,16,0.0523
2,16,0.0625
3,16,0.07
4,16,0.0728
5,16,0.07
6,16,0.0625
7,16,0.0523
8,16,0.042
9,16,0.0345
10,16,0.0318
11,16,0.0345
12,16,0.042
1,17,0.0543
2,17,0.0645
3,17,0.072
4,17,0.0748
5,17,0.072
6,17,0.0645
7,17,0.0543
8,17,0.044
9,17,0.0365
10,17,0.0338
11,17,0.0365
12,17,0.044
1,18,0.0564
2,18,0.0666
3,18,0.0741
4,18,0.0769
5,18,0.0741
6,18,0.0666
7,18,0.0564
8,18,0.0461
9,18,0.0386
10,18,0.0359
11,18,0.0386
12,18,0.0461
1,19,0.0585
2,19,0.0687
3,19,0.0763
4,19,0.079
5,19,0.0763
6,19,0.0687
7,19,0.0585
8,19,0.0482
9,19,0.0407
10,19,0.038
11,19,0.0407
12,19,0.0482
1,20,0.0605
2,20,0.0707
3,20,0.0782
4,20,0.081
5,20,0.0782
6,20,0.0707
7,20,0.0605
8,20,0.0502
9,20,0.0427
10,20,0.04
11,20,0.0427
12,20,0.0502
1,21,0.0622
2,21,0.0724
3,21,0.0799
4,21,0.0827
5,21,0.0799
6,21,0.0724
7,21,0.0622
8,21,0.0519
9,21,0.0444
10,21,0.0417
11,21,0.0444
12,21,0.0519
1,22,0.0635
2,22,0.0737
3,22,0.0812
4,22,0.084
5,22,0.0812
6,22,0.0737
7,22,0.0635
8,22,0.0532
9,22,0.0457
10,22,0.043
11,22,0.0457
12,22,0.0532
1,23,0.0643
2,23,0.0745
3,23,0.082
4,23,0.0848
5,23,0.082
6,23,0.0745
7,23,0.0643
8,23,0.054
9,23,0.0465
10,23,0.0438
11,23,0.0465
12,23,0.054
