utility,nbt_vintage,customer_segment,rate_usd_per_kwh,source_id
PG&E,2023,standard_non_equity,0.0220,pge_advice_7174_e
PG&E,2023,equity,0.0900,pge_advice_7174_e
PG&E,2024,standard_non_equity,0.0176,pge_advice_7174_e
PG&E,2024,equity,0.0720,pge_advice_7174_e
PG&E,2025,standard_non_equity,0.0132,pge_advice_7174_e
PG&E,2025,equity,0.0540,pge_advice_7174_e
PG&E,2026,standard_non_equity,0.0088,pge_advice_7174_e
PG&E,2026,equity,0.0360,pge_advice_7174_e
PG&E,2027,standard_non_equity,0.0044,pge_advice_7174_e
PG&E,2027,equity,0.0180,pge_advice_7174_e
SCE,2023,standard_non_equity,0.0400,sce_schedule_nbt
SCE,2023,equity,0.0930,sce_schedule_nbt
SCE,2024,standard_non_equity,0.0320,sce_schedule_nbt
SCE,2024,equity,0.0740,sce_schedule_nbt
SCE,2025,standard_non_equity,0.0240,sce_schedule_nbt
SCE,2025,equity,0.0560,sce_schedule_nbt
SCE,2026,standard_non_equity,0.0160,sce_schedule_nbt
SCE,2026,equity,0.0370,sce_schedule_nbt
SCE,2027,standard_non_equity,0.0080,sce_schedule_nbt
SCE,2027,equity,0.0190,sce_schedule_nbt
SDG&E,2023,standard_non_equity,0.0000,cpuc_nbt_policy
SDG&E,2023,equity,0.0000,cpuc_nbt_policy
SDG&E,2024,standard_non_equity,0.0000,cpuc_nbt_policy
SDG&E,2024,equity,0.0000,cpuc_nbt_policy
SDG&E,2025,standard_non_equity,0.0000,cpuc_nbt_policy
SDG&E,2025,equity,0.0000,cpuc_nbt_policy
SDG&E,2026,standard_non_equity,0.0000,cpuc_nbt_policy
SDG&E,2026,equity,0.0000,cpuc_nbt_policy
SDG&E,2027,standard_non_equity,0.0000,cpuc_nbt_policy
SDG&E,2027,equity,0.0000,cpuc_nbt_policy
