utility,true_up_month,generation_rate_usd_per_kwh,delivery_rate_usd_per_kwh,rate_unit,source_sign_convention,source_id,unit_source_id
SCE,2026-01,0.04662,0.01281,USD/kWh,positive_adjustment_rate,sce_monthly_eec_adjustment_rates_2026-08-11,sce_nbt_rules_2026-08-10
SCE,2026-02,0.04647,0.01288,USD/kWh,positive_adjustment_rate,sce_monthly_eec_adjustment_rates_2026-08-11,sce_nbt_rules_2026-08-10
SCE,2026-03,0.04669,0.01290,USD/kWh,positive_adjustment_rate,sce_monthly_eec_adjustment_rates_2026-08-11,sce_nbt_rules_2026-08-10
SCE,2026-04,0.04878,0.01401,USD/kWh,positive_adjustment_rate,sce_monthly_eec_adjustment_rates_2026-08-11,sce_nbt_rules_2026-08-10
SCE,2026-05,0.04702,0.01308,USD/kWh,positive_adjustment_rate,sce_monthly_eec_adjustment_rates_2026-08-11,sce_nbt_rules_2026-08-10
SCE,2026-06,0.04630,0.01287,USD/kWh,positive_adjustment_rate,sce_monthly_eec_adjustment_rates_2026-08-11,sce_nbt_rules_2026-08-10
SCE,2026-07,0.04769,0.01326,USD/kWh,positive_adjustment_rate,sce_monthly_eec_adjustment_rates_2026-08-11,sce_nbt_rules_2026-08-10
SCE,2026-08,0.04576,0.01291,USD/kWh,positive_adjustment_rate,sce_monthly_eec_adjustment_rates_2026-08-11,sce_nbt_rules_2026-08-10
SDG&E,2026-01,0.11405,0.03415,USD/kWh,negative_bill_line_item,sdge_annual_true_up_methodology_2026-08-10,sdge_nbt_rules_2026-08-10
SDG&E,2026-02,0.11301,0.03359,USD/kWh,negative_bill_line_item,sdge_annual_true_up_methodology_2026-08-10,sdge_nbt_rules_2026-08-10
SDG&E,2026-03,0.11162,0.03270,USD/kWh,negative_bill_line_item,sdge_annual_true_up_methodology_2026-08-10,sdge_nbt_rules_2026-08-10
SDG&E,2026-04,0.10871,0.03141,USD/kWh,negative_bill_line_item,sdge_annual_true_up_methodology_2026-08-10,sdge_nbt_rules_2026-08-10
SDG&E,2026-05,0.10378,0.02968,USD/kWh,negative_bill_line_item,sdge_annual_true_up_methodology_2026-08-10,sdge_nbt_rules_2026-08-10
SDG&E,2026-06,0.09768,0.02781,USD/kWh,negative_bill_line_item,sdge_annual_true_up_methodology_2026-08-10,sdge_nbt_rules_2026-08-10
SDG&E,2026-07,0.09065,0.02548,USD/kWh,negative_bill_line_item,sdge_annual_true_up_methodology_2026-08-10,sdge_nbt_rules_2026-08-10
SDG&E,2026-08,0.08672,0.02427,USD/kWh,negative_bill_line_item,sdge_annual_true_up_methodology_2026-08-10,sdge_nbt_rules_2026-08-10
