utility,billing_year,nbt_vintage,service_type,customer_segment,month,day_type,hour_start,component,rate_usd_per_kwh,source_id
PG&E,2026,2024,bundled,all,1,weekday,0,delivery,0.003950,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,1,delivery,0.003950,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,2,delivery,0.003450,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,3,delivery,0.003410,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,4,delivery,0.003470,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,5,delivery,0.003530,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,6,delivery,0.003810,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,7,delivery,0.004430,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,8,delivery,0.004350,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,9,delivery,0.004210,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,10,delivery,0.004120,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,11,delivery,0.003820,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,12,delivery,0.003940,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,13,delivery,0.003780,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,14,delivery,0.003820,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,15,delivery,0.003910,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,16,delivery,0.004530,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,17,delivery,0.005150,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,18,delivery,0.006050,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,19,delivery,0.006000,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,20,delivery,0.005340,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,21,delivery,0.004720,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,22,delivery,0.003710,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekday,23,delivery,0.003560,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,0,delivery,0.003400,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,1,delivery,0.003290,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,2,delivery,0.003330,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,3,delivery,0.003240,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,4,delivery,0.003210,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,5,delivery,0.003010,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,6,delivery,0.003120,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,7,delivery,0.003240,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,8,delivery,0.002900,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,9,delivery,0.002800,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,10,delivery,0.002770,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,11,delivery,0.002600,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,12,delivery,0.002560,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,13,delivery,0.002470,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,14,delivery,0.002880,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,15,delivery,0.002830,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,16,delivery,0.003950,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,17,delivery,0.005070,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,18,delivery,0.005900,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,19,delivery,0.005570,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,20,delivery,0.005130,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,21,delivery,0.004470,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,22,delivery,0.003680,pge_nbt2024
PG&E,2026,2024,bundled,all,1,weekend_holiday,23,delivery,0.003500,pge_nbt2024
PG&E,2026,2024,bundled,all,2,weekday,0,delivery,0.003640,pge_nbt2024
