utility,true_up_month,rate_usd_per_kwh,rate_unit,source_id
PG&E,2026-01,0.03116,USD/kWh,pge_monthly_nsc_rates_2026-08-10
PG&E,2026-02,0.03025,USD/kWh,pge_monthly_nsc_rates_2026-08-10
PG&E,2026-03,0.02962,USD/kWh,pge_monthly_nsc_rates_2026-08-10
PG&E,2026-04,0.02860,USD/kWh,pge_monthly_nsc_rates_2026-08-10
PG&E,2026-05,0.02897,USD/kWh,pge_monthly_nsc_rates_2026-08-10
PG&E,2026-06,0.02862,USD/kWh,pge_monthly_nsc_rates_2026-08-10
PG&E,2026-07,0.03089,USD/kWh,pge_monthly_nsc_rates_2026-08-10
PG&E,2026-08,0.02684,USD/kWh,pge_monthly_nsc_rates_2026-08-10
SCE,2026-01,0.01840,USD/kWh,sce_monthly_nsc_rates_2026-08-10
SCE,2026-02,0.01769,USD/kWh,sce_monthly_nsc_rates_2026-08-10
SCE,2026-03,0.01848,USD/kWh,sce_monthly_nsc_rates_2026-08-10
SCE,2026-04,0.01818,USD/kWh,sce_monthly_nsc_rates_2026-08-10
SCE,2026-05,0.01864,USD/kWh,sce_monthly_nsc_rates_2026-08-10
SCE,2026-06,0.01815,USD/kWh,sce_monthly_nsc_rates_2026-08-10
SCE,2026-07,0.01736,USD/kWh,sce_monthly_nsc_rates_2026-08-10
SCE,2026-08,0.01697,USD/kWh,sce_monthly_nsc_rates_2026-08-10
SDG&E,2026-01,0.02934,USD/kWh,sdge_monthly_nsc_rates_2026-08-10
SDG&E,2026-02,0.02735,USD/kWh,sdge_monthly_nsc_rates_2026-08-10
SDG&E,2026-03,0.02800,USD/kWh,sdge_monthly_nsc_rates_2026-08-10
SDG&E,2026-04,0.02044,USD/kWh,sdge_monthly_nsc_rates_2026-08-10
SDG&E,2026-05,0.01592,USD/kWh,sdge_monthly_nsc_rates_2026-08-10
SDG&E,2026-06,0.01243,USD/kWh,sdge_monthly_nsc_rates_2026-08-10
SDG&E,2026-07,0.01170,USD/kWh,sdge_monthly_nsc_rates_2026-08-10
SDG&E,2026-08,0.01306,USD/kWh,sdge_monthly_nsc_rates_2026-08-10
