county_slug,county_name,utility,case_id,export_compensation_regime,capital_policy_regime,temporal_resolution,interval_count,pv_capex_usd_per_kw,battery_capex_usd_per_kwh,pv_kw,battery_kwh,annual_generation_coverage,pv_sizing_limit_ratio,at_pv_sizing_limit,total_cost_usd_per_year,max_battery_kwh,meter_binary_count,solver_rounds
alameda,Alameda County,PG&E,nbt_2026__post_itc_2026,nbt_2026,post_itc_2026,weighted_12x24_monthly_hour,288,3300.0,1460.64,1.9868103363109888,0.0,0.2715207143518264,1.5,False,3133.1244189160925,40.0,2,2
fresno,Fresno County,PG&E,nbt_2026__post_itc_2026,nbt_2026,post_itc_2026,weighted_12x24_monthly_hour,288,3300.0,1460.64,1.7859210784133184,0.0,0.2595132594614828,1.5,False,2964.885982286871,40.0,2,2
los-angeles,Los Angeles County,SCE,nbt_2026__post_itc_2026,nbt_2026,post_itc_2026,weighted_12x24_monthly_hour,288,3300.0,1460.64,1.8789484511895065,0.0,0.2943941713566276,1.5,False,2882.20679731882,40.0,2,2
san-diego,San Diego County,SDG&E,nbt_2026__post_itc_2026,nbt_2026,post_itc_2026,weighted_12x24_monthly_hour,288,3300.0,1460.64,2.040871926635316,0.0001515316969024,0.3049268311605856,1.5,False,3282.9143238709744,40.0,6,6
alameda,Alameda County,PG&E,nbt_2026__itc_2025,nbt_2026,itc_2025,weighted_12x24_monthly_hour,288,2310.0,1022.448,2.88513302907558,0.0,0.3942869466388921,1.5,False,2926.9736153788103,40.0,2,2
fresno,Fresno County,PG&E,nbt_2026__itc_2025,nbt_2026,itc_2025,weighted_12x24_monthly_hour,288,2310.0,1022.448,2.6334749635698738,0.0,0.3826718211497935,1.5,False,2778.707027297247,40.0,2,2
los-angeles,Los Angeles County,SCE,nbt_2026__itc_2025,nbt_2026,itc_2025,weighted_12x24_monthly_hour,288,2310.0,1022.448,3.611465480604661,5.532929758535019,0.5658454263993232,1.5,False,2679.339592901906,40.0,7,6
san-diego,San Diego County,SDG&E,nbt_2026__itc_2025,nbt_2026,itc_2025,weighted_12x24_monthly_hour,288,2310.0,1022.448,3.5757315069553752,7.496303502315756,0.5342503188304185,1.5,False,2896.8711528123517,40.0,3,3
alameda,Alameda County,PG&E,nem2_at_2026_retail_rates__post_itc_2026,nem2_at_2026_retail_rates,post_itc_2026,weighted_12x24_monthly_hour,288,3300.0,1460.64,7.317343507488548,0.0,1.0000000000000004,1.0,True,2177.8764311466457,40.0,0,1
fresno,Fresno County,PG&E,nem2_at_2026_retail_rates__post_itc_2026,nem2_at_2026_retail_rates,post_itc_2026,weighted_12x24_monthly_hour,288,3300.0,1460.64,6.8818105175793,0.0,1.0,1.0,True,2072.42372037638,40.0,0,1
los-angeles,Los Angeles County,SCE,nem2_at_2026_retail_rates__post_itc_2026,nem2_at_2026_retail_rates,post_itc_2026,weighted_12x24_monthly_hour,288,3300.0,1460.64,6.382424089889184,0.0,0.9999999999999992,1.0,True,2349.4524387665374,40.0,0,1
san-diego,San Diego County,SDG&E,nem2_at_2026_retail_rates__post_itc_2026,nem2_at_2026_retail_rates,post_itc_2026,weighted_12x24_monthly_hour,288,3300.0,1460.64,6.692988999582396,0.0,1.0000000000000009,1.0,True,2840.521264175221,40.0,0,1
alameda,Alameda County,PG&E,nem2_at_2026_retail_rates__itc_2025,nem2_at_2026_retail_rates,itc_2025,weighted_12x24_monthly_hour,288,2310.0,1022.448,7.317343507488548,0.0,1.0000000000000004,1.0,True,1556.2504503983628,40.0,0,1
fresno,Fresno County,PG&E,nem2_at_2026_retail_rates__itc_2025,nem2_at_2026_retail_rates,itc_2025,weighted_12x24_monthly_hour,288,2310.0,1022.448,6.8818105175793,0.0,1.0,1.0,True,1487.7973176475646,40.0,0,1
los-angeles,Los Angeles County,SCE,nem2_at_2026_retail_rates__itc_2025,nem2_at_2026_retail_rates,itc_2025,weighted_12x24_monthly_hour,288,2310.0,1022.448,6.382424089889184,0.0,0.9999999999999992,1.0,True,1807.250117614261,40.0,0,1
san-diego,San Diego County,SDG&E,nem2_at_2026_retail_rates__itc_2025,nem2_at_2026_retail_rates,itc_2025,weighted_12x24_monthly_hour,288,2310.0,1022.448,6.692988999582396,6.412958275185043,1.0000000000000009,1.0,True,2180.0042555656987,40.0,0,1
