battery_capex_kwh,batt_kwh,max_battery_kwh,meter_binary_count,solver_rounds
1.0,40.0,40.0,4,2
5.0,40.0,40.0,4,2
10.0,40.0,40.0,4,2
25.0,40.0,40.0,4,2
50.0,40.0,40.0,4,2
100.0,40.0,40.0,4,2
150.0,40.0,40.0,4,2
200.0,40.0,40.0,4,2
300.0,39.34644920071251,40.0,4,2
400.0,30.98126862164492,40.0,4,2
500.0,19.167276220941016,40.0,4,2
600.0,12.34569042474387,40.0,5,3
700.0,7.5924034312739,40.0,5,3
800.0,3.3936748193144766,40.0,7,5
1000.0,0.0,40.0,2,2
1200.0,0.0,40.0,2,2
1400.0,0.0,40.0,2,2
1460.64,0.0,40.0,2,2
1500.0,0.0,40.0,2,2
