battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage,max_battery_kwh,meter_binary_count,solver_rounds
1,8.64502971915081,40.0,693.1351509562965,1.18144374530231,40.0,4,2
5,8.64502971915081,40.0,711.8411025772161,1.18144374530231,40.0,4,2
10,8.64502971915081,40.0,735.2235421033656,1.18144374530231,40.0,4,2
25,8.64502971915081,40.0,805.3708606818145,1.18144374530231,40.0,4,2
50,8.64502971915081,40.0,922.2830583125624,1.18144374530231,40.0,4,2
100,8.64502971915081,40.0,1156.1074535740586,1.18144374530231,40.0,4,2
150,8.64502971915081,40.0,1389.9318488355539,1.18144374530231,40.0,4,2
200,8.64502971915081,40.0,1623.756244097051,1.18144374530231,40.0,4,2
300,8.64502971915081,40.0,2091.405034620041,1.18144374530231,40.0,4,2
400,8.101833420676579,35.14387776832874,2551.820544632289,1.107209660498402,40.0,4,2
500,6.315726375053222,17.286819555164914,2803.2161354220107,0.8631173825022329,40.0,4,2
600,3.9485485520903154,5.318464933422783,2909.324589106564,0.5396150321560528,40.0,7,5
700,2.8851330290755803,0.0,2926.973615378811,0.3942869466388922,40.0,4,2
800,2.88513302907558,0.0,2926.9736153788103,0.3942869466388921,40.0,2,2
1000,2.88513302907558,0.0,2926.9736153788103,0.3942869466388921,40.0,2,2
1200,2.88513302907558,0.0,2926.9736153788103,0.3942869466388921,40.0,2,2
1400,2.88513302907558,0.0,2926.9736153788103,0.3942869466388921,40.0,2,2
1500,2.88513302907558,0.0,2926.9736153788103,0.3942869466388921,40.0,2,2
