battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage,max_battery_kwh,meter_binary_count,solver_rounds
1.0,5.779511741699098,40.0,1237.000484277387,0.7898374233469242,40.0,0,1
5.0,5.779511741699098,40.0,1255.7064358983064,0.7898374233469242,40.0,0,1
10.0,5.779511741699097,40.0,1279.088875424456,0.7898374233469242,40.0,0,1
25.0,5.784139657571071,39.608181180867454,1348.9709077012521,0.790469881815935,40.0,0,1
50.0,5.991900670948361,32.339619323201575,1455.2883306290837,0.8188628379706746,40.0,0,1
100.0,7.137966460668022,4.55222287993686,1544.063768498926,0.975486042627772,40.0,0,1
150.0,7.317343507488548,0.8285932441164854,1550.5906449019521,1.0000000000000004,40.0,0,1
200.0,7.317343507488548,0.8285932441165168,1555.4342777575341,1.0000000000000004,40.0,0,1
300.0,7.317343507488548,0.0,1556.2504503983628,1.0000000000000004,40.0,0,1
400.0,7.317343507488548,0.0,1556.2504503983628,1.0000000000000004,40.0,0,1
500.0,7.317343507488548,0.0,1556.2504503983623,1.0000000000000004,40.0,0,1
600.0,7.317343507488548,0.0,1556.2504503983628,1.0000000000000004,40.0,0,1
700.0,7.317343507488548,0.0,1556.2504503983623,1.0000000000000004,40.0,0,1
800.0,7.317343507488548,0.0,1556.2504503983623,1.0000000000000004,40.0,0,1
1000.0,7.317343507488548,0.0,1556.2504503983628,1.0000000000000004,40.0,0,1
1022.448,7.317343507488548,0.0,1556.2504503983628,1.0000000000000004,40.0,0,1
1200.0,7.317343507488548,0.0,1556.2504503983625,1.0000000000000004,40.0,0,1
1400.0,7.317343507488548,0.0,1556.2504503983628,1.0000000000000004,40.0,0,1
1500.0,7.317343507488548,0.0,1556.250450398389,1.0000000000000004,40.0,0,1
