battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage,max_battery_kwh,meter_binary_count,solver_rounds
1.0,5.730434026839928,40.0,1727.7624516815274,0.7831303834479577,40.0,0,1
5.0,5.730434026839928,40.0,1746.4684033024482,0.7831303834479577,40.0,0,1
10.0,5.730434026839928,40.0,1769.850842828597,0.7831303834479577,40.0,0,1
25.0,5.730434026839928,40.0,1839.9981614070468,0.7831303834479577,40.0,0,1
50.0,5.729499562014235,38.00435822734095,1954.6724479818704,0.7830026779733222,40.0,0,1
100.0,6.589375136140543,16.033030837441512,2133.1196522521486,0.9005146648366306,40.0,0,1
150.0,7.317343507488548,0.8285932441164721,2172.216625650235,1.0000000000000004,40.0,0,1
200.0,7.317343507488548,0.8285932441164924,2177.060258505818,1.0000000000000004,40.0,0,1
300.0,7.317343507488548,0.0,2177.8764311466402,1.0000000000000004,40.0,0,1
400.0,7.317343507488548,0.0,2177.876431146645,1.0000000000000004,40.0,0,1
500.0,7.317343507488548,0.0,2177.8764311466457,1.0000000000000004,40.0,0,1
600.0,7.317343507488548,0.0,2177.8764311466457,1.0000000000000004,40.0,0,1
700.0,7.317343507488548,0.0,2177.8764311466457,1.0000000000000004,40.0,0,1
800.0,7.317343507488548,0.0,2177.8764311466457,1.0000000000000004,40.0,0,1
1000.0,7.317343507488548,0.0,2177.8764311466457,1.0000000000000004,40.0,0,1
1200.0,7.317343507488548,0.0,2177.8764311466457,1.0000000000000004,40.0,0,1
1400.0,7.317343507488548,0.0,2177.8764311466457,1.0000000000000004,40.0,0,1
1460.64,7.317343507488548,0.0,2177.8764311466457,1.0000000000000004,40.0,0,1
1500.0,7.317343507488548,0.0,2177.8764311466457,1.0000000000000004,40.0,0,1
