battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage,max_battery_kwh,meter_binary_count,solver_rounds
1,8.196977570242613,40.0,585.8290091344213,1.1911077105804893,40.0,4,2
5,8.196977570242613,40.0,604.5349607553405,1.1911077105804893,40.0,4,2
10,8.196977570242613,40.0,627.9174002814905,1.1911077105804893,40.0,4,2
25,8.196977570242613,40.0,698.0647188599394,1.1911077105804893,40.0,4,2
50,8.196977570242613,40.0,814.9769164906872,1.1911077105804893,40.0,4,2
100,8.196977570242613,40.0,1048.801311752183,1.1911077105804893,40.0,4,2
150,8.196977570242613,40.0,1282.6257070136792,1.1911077105804893,40.0,4,2
200,8.196977570242613,40.0,1516.450102275175,1.1911077105804893,40.0,4,2
300,8.196977570242613,40.0,1984.0988927981673,1.1911077105804893,40.0,4,2
400,7.377711475649655,32.478228453003574,2429.5692379745387,1.072059664648365,40.0,4,2
500,5.126855971939915,16.35468018387575,2664.513584173886,0.7449865059265398,40.0,4,2
600,3.611788529849046,5.151479319314706,2765.034064683975,0.5248311502653091,40.0,5,3
700,2.633474963569875,0.0,2778.7070272972464,0.3826718211497937,40.0,4,2
800,2.633474963569894,0.0,2778.707027297247,0.3826718211497965,40.0,2,2
1000,2.6334749635698738,0.0,2778.707027297247,0.38267182114979353,40.0,2,2
1200,2.6334749635698738,0.0,2778.707027297247,0.38267182114979353,40.0,2,2
1400,2.6334749635698738,0.0,2778.707027297247,0.38267182114979353,40.0,2,2
1500,2.6334749635698738,0.0,2778.707027297247,0.38267182114979353,40.0,2,2
