battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage,max_battery_kwh,meter_binary_count,solver_rounds
1,7.3253389062835845,40.0,1236.1040743554167,1.0644493752874058,40.0,4,2
5,7.3253389062835845,40.0,1254.8100259763364,1.0644493752874058,40.0,4,2
10,7.3253389062835845,40.0,1278.1924655024864,1.0644493752874058,40.0,4,2
25,7.3253389062835845,40.0,1348.3397840809348,1.0644493752874058,40.0,4,2
50,7.3253389062835845,40.0,1465.2519817116831,1.0644493752874058,40.0,4,2
100,7.3253389062835845,40.0,1699.0763769731789,1.0644493752874058,40.0,4,2
150,7.3253389062835845,40.0,1932.900772234675,1.0644493752874058,40.0,4,2
200,7.325338906283583,40.0,2166.7251674961713,1.0644493752874056,40.0,4,2
300,5.247657497509971,25.027689760752818,2630.4285459936605,0.7625402478177868,40.0,4,2
400,3.7464228523823397,13.612484970015519,2866.1832584371878,0.5443949441520161,40.0,5,3
500,2.7869821628667926,5.396473002191689,2954.688051326528,0.4049780440405271,40.0,5,3
600,1.785921078413316,0.0,2964.8859822868717,0.25951325946148246,40.0,4,2
700,1.7859210784133184,0.0,2964.885982286871,0.25951325946148285,40.0,2,2
800,1.7859210784133184,0.0,2964.885982286871,0.25951325946148285,40.0,2,2
1000,1.7859210784133184,0.0,2964.885982286871,0.25951325946148285,40.0,2,2
1200,1.7859210784133184,0.0,2964.885982286871,0.25951325946148285,40.0,2,2
1400,1.7859210784133184,0.0,2964.885982286871,0.25951325946148285,40.0,2,2
1500,1.7859210784133184,0.0,2964.885982286871,0.25951325946148285,40.0,2,2
