battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage,max_battery_kwh,meter_binary_count,solver_rounds
1.0,8.720879413178892,40.0,357.78018149085506,1.3663898372084367,40.0,7,6
5.0,8.720879413178892,40.0,376.48613311177473,1.3663898372084367,40.0,7,6
10.0,8.720879413178892,40.0,399.86857263792444,1.3663898372084367,40.0,7,6
25.0,8.720879413178892,40.0,470.0158912163731,1.3663898372084367,40.0,7,6
50.0,8.720879413178892,40.0,586.928088847121,1.3663898372084367,40.0,7,6
100.0,8.720879413178892,40.0,820.7524841086172,1.3663898372084367,40.0,7,6
150.0,8.720879413178892,40.0,1054.576879370113,1.3663898372084367,40.0,7,6
200.0,8.720879413178892,40.0,1288.401274631609,1.3663898372084367,40.0,7,6
300.0,7.435985972470164,32.275971559221446,1754.1743925829708,1.1650723718359597,40.0,7,6
400.0,6.3795514127881505,18.88347103065503,2046.2440366534083,0.9995499081445263,40.0,7,6
500.0,4.632994016335199,10.149837222511923,2201.9234415782603,0.7258988044487086,40.0,7,6
600.0,4.446031863250152,9.270267373333297,2315.272632580749,0.6966055217630239,40.0,7,6
700.0,4.252195857356855,8.40223505021131,2421.0695557767285,0.6662352418876449,40.0,7,6
800.0,4.180389023299509,8.080671196810693,2516.956186778926,0.6549845269483007,40.0,7,6
1000.0,3.6114654806046604,5.532929758535018,2664.8187229930754,0.5658454263993232,40.0,7,6
1022.448,3.6114654806046604,5.532929758535019,2679.339592901906,0.5658454263993232,40.0,7,6
1200.0,2.6447218871258227,0.0,2690.9457218961743,0.4143757684976619,40.0,2,2
1400.0,2.6447218871258227,0.0,2690.9457218961743,0.4143757684976619,40.0,2,2
1500.0,2.644721887125823,0.0,2690.945721896174,0.41437576849766194,40.0,2,2
