battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage,max_battery_kwh,meter_binary_count,solver_rounds
1.0,3.8300999882387194,26.978056178514088,1168.149819153555,0.6001011424963485,40.0,0,1
5.0,3.8300999882387203,26.97805617851408,1180.7660744960986,0.6001011424963487,40.0,0,1
10.0,3.8300999882387203,26.97805617851408,1196.5363936742779,0.6001011424963487,40.0,0,1
25.0,3.8316292577407163,26.77662410904053,1243.640427125693,0.6003407488716784,40.0,0,1
50.0,3.839241550884904,26.297781390574308,1321.00635296484,0.6015334451007252,40.0,0,1
100.0,3.8899413760509978,24.44133269395884,1465.698947101532,0.6094771079554719,40.0,0,1
150.0,4.0887623577693875,21.085180792252203,1599.6633501391334,0.6406284352440103,40.0,0,1
200.0,4.203124946100434,19.684015054753576,1719.004130470076,0.658546797722025,40.0,0,1
300.0,4.483849284917239,17.051254619511198,1929.3097717274832,0.7025307660173186,40.0,0,1
400.0,4.840838933764278,14.703571614213272,2113.6933840741985,0.7584640045203146,40.0,0,1
500.0,6.3824240898891835,6.6457601897528065,2238.2740523156526,0.9999999999999992,40.0,0,1
600.0,6.3824240898891835,6.645760189752807,2315.9710951867514,0.9999999999999992,40.0,0,1
700.0,6.3824240898891835,0.0,2349.452438766538,0.9999999999999992,40.0,0,1
800.0,6.3824240898891835,0.0,2349.4524387665374,0.9999999999999992,40.0,0,1
1000.0,6.3824240898891835,0.0,2349.4524387665374,0.9999999999999992,40.0,0,1
1200.0,6.3824240898891835,0.0,2349.4524387665374,0.9999999999999992,40.0,0,1
1400.0,6.3824240898891835,0.0,2349.452438766538,0.9999999999999992,40.0,0,1
1460.64,6.3824240898891835,0.0,2349.4524387665374,0.9999999999999992,40.0,0,1
1500.0,6.3824240898891835,0.0,2349.4524387665374,0.9999999999999992,40.0,0,1
