battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage,max_battery_kwh,meter_binary_count,solver_rounds
1,7.194204124535019,40.0,1034.4441300872504,1.1271899239556682,40.0,7,6
5,7.194204124535019,40.0,1053.1500817081703,1.1271899239556682,40.0,7,6
10,7.194204124535019,40.0,1076.5325212343198,1.1271899239556682,40.0,7,6
25,7.194204124535019,40.0,1146.6798398127685,1.1271899239556682,40.0,7,6
50,7.194204124535019,40.0,1263.5920374435163,1.1271899239556682,40.0,7,6
100,7.194204124535019,40.0,1497.4164327050125,1.1271899239556682,40.0,7,6
150,7.194204124535019,40.0,1731.2408279665083,1.1271899239556682,40.0,7,6
200,7.194204124535019,40.0,1965.0652232280047,1.1271899239556682,40.0,7,6
300,4.79098393156497,17.6128002048252,2265.832657748362,0.7506527087654169,40.0,7,6
400,3.6039592495179527,9.917981921059338,2407.8069173820527,0.5646693480032482,40.0,7,6
500,3.509206289892418,9.303751385507079,2520.1369770733945,0.5498234276615336,40.0,7,6
600,3.367140478818642,8.50143135641297,2624.718742406698,0.5275645164589967,40.0,7,6
700,3.1529779458899143,7.325392858356306,2719.962905799794,0.4940094706155222,40.0,7,6
800,3.076593279296982,6.75845763616389,2801.6126383183196,0.48204149958803466,40.0,7,6
1000,1.8789484511894772,0.0,2882.2067973188214,0.29439417135662316,40.0,3,2
1200,1.878948451189504,0.0,2882.206797318821,0.2943941713566273,40.0,2,2
1400,1.8789484511895063,0.0,2882.20679731882,0.29439417135662765,40.0,2,2
1500,1.8789484511895063,0.0,2882.20679731882,0.29439417135662765,40.0,2,2
