battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage,max_battery_kwh,meter_binary_count,solver_rounds
1,7.958171130965025,40.0,406.11875395456286,1.189030959330962,40.0,2,2
5,7.958171130965025,40.0,424.82470557548254,1.189030959330962,40.0,2,2
10,7.958171130965025,40.0,448.207145101632,1.189030959330962,40.0,2,2
25,7.958171130965025,40.0,518.3544636800809,1.189030959330962,40.0,2,2
50,7.958171130965025,40.0,635.2666613108288,1.189030959330962,40.0,2,2
100,7.958171130965025,40.0,869.091056572325,1.189030959330962,40.0,2,2
150,7.958171130965025,40.0,1102.9154518338207,1.189030959330962,40.0,2,2
200,7.958171130965026,40.0,1336.7398470953176,1.1890309593309623,40.0,2,2
300,6.457384239548455,29.511678245894114,1767.0520792447376,0.9647982747246955,40.0,2,2
400,5.068637028674622,16.20807029874652,2019.8788020390157,0.7573054473854476,40.0,2,2
500,5.299790055444923,15.226955425406024,2203.816506310999,0.7918420388522384,40.0,2,2
600,4.9910282337564364,13.657742544241799,2370.3057556917984,0.7457099113815744,40.0,2,2
700,4.70559881152302,12.374938858420233,2521.1457919741406,0.703063879503855,40.0,3,3
800,4.3697106065287565,11.25414075789386,2655.9694164787543,0.652878797021989,40.0,3,3
1000,3.633435284356397,7.617275960059499,2877.10990316972,0.5428718446396829,40.0,3,3
1200,3.243620991529524,6.0075494039718675,3033.539513699898,0.4846296612368421,40.0,3,3
1400,2.901293731033617,0.1355573502087518,3076.5328104401397,0.43348251897838824,40.0,6,6
1500,2.8772953529528906,0.00021363488891828992,3077.122261903515,0.429896919467882,40.0,6,6
