battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage,max_battery_kwh,meter_binary_count,solver_rounds
1.0,3.8233949716842854,25.229353580480254,892.8201330058284,0.5712537360994986,40.0,0,1
5.0,3.823394971684285,25.229353580480257,904.6186096934168,0.5712537360994985,40.0,0,1
10.0,3.826195282893704,24.854241438744612,919.2824873688955,0.5716721308121738,40.0,0,1
25.0,3.8324101523116423,24.451019548293743,962.4767984992227,0.5726006949287928,40.0,0,1
50.0,3.8977116951267545,21.78223815954729,1028.0950905157974,0.5823574034515749,40.0,0,1
100.0,4.182481885562866,16.800097009467663,1139.0069010990865,0.6249049394558743,40.0,0,1
150.0,4.331793718606613,15.086609312920427,1231.532082983168,0.6472136318880691,40.0,0,1
200.0,4.377194888946794,14.112382221957283,1317.540550341919,0.6539970242323586,40.0,0,1
300.0,4.507539565292841,13.404586475197148,1478.9702389986383,0.6734718323269454,40.0,0,1
400.0,4.910984123624107,11.723814496314331,1622.6813642229392,0.7337505147446872,40.0,0,1
500.0,5.2211024550360845,10.681844193286231,1752.285093745226,0.7800853184372268,40.0,0,1
600.0,6.527676922648062,6.891261607888929,1862.852055354968,0.9753007099003685,40.0,0,1
700.0,6.692988999582396,6.412958275185047,1938.2478856257123,1.0000000000000009,40.0,0,1
800.0,6.692988999582396,6.412958275185045,2013.2231901523276,1.0000000000000009,40.0,0,1
1000.0,6.692988999582396,6.412958275185041,2163.1737992055632,1.0000000000000009,40.0,0,1
1022.448,6.692988999582396,6.412958275185043,2180.0042555656987,1.0000000000000009,40.0,0,1
1200.0,6.692988999582396,0.4704695920402399,2268.176661763967,1.0000000000000009,40.0,0,1
1400.0,6.692988999582396,0.0,2271.935704846892,1.0000000000000009,40.0,0,1
1500.0,6.692988999582396,0.0,2271.9357048468946,1.0000000000000009,40.0,0,1
