battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage,max_battery_kwh,meter_binary_count,solver_rounds
1.0,3.8233949716842854,25.22935358048025,1217.626758064358,0.5712537360994986,40.0,0,1
5.0,3.823394971684285,25.229353580480247,1229.4252347519462,0.5712537360994985,40.0,0,1
10.0,3.8233949716842863,25.229353580480257,1244.1733306114363,0.5712537360994987,40.0,0,1
25.0,3.8261952828937034,24.854241438744612,1287.913465424884,0.5716721308121737,40.0,0,1
50.0,3.8390324776389213,22.46883458909271,1358.3143003779041,0.5735901370640918,40.0,0,1
100.0,3.938929964646065,19.52537101354284,1481.137848430162,0.5885158282632521,40.0,0,1
150.0,4.084903065905363,17.25288095788139,1589.132176490429,0.6103256805233418,40.0,0,1
200.0,4.281303983695966,14.91076555063831,1683.4033775710986,0.639669956720846,40.0,0,1
300.0,4.377194888946797,14.112382221957278,1854.3847761015475,0.6539970242323592,40.0,0,1
400.0,4.447077718852579,13.679143933807039,2017.6695140244879,0.6644382232108935,40.0,0,1
500.0,4.653275656152667,12.733496570763416,2172.464482626379,0.6952462728450636,40.0,0,1
600.0,4.910984123624109,11.723814496314333,2314.01269453236,0.7337505147446874,40.0,0,1
700.0,5.17040759741535,10.839444881561237,2445.1977413659993,0.7725109958701498,40.0,0,1
800.0,5.404657910233484,10.140532600600961,2569.1080031644997,0.8075103530830111,40.0,0,1
1000.0,6.692988999582396,6.412958275185043,2731.759358533889,1.0000000000000009,40.0,0,1
1200.0,6.692988999582396,0.4704695920402399,2836.762221092292,1.0000000000000009,40.0,0,1
1400.0,6.692988999582396,0.0,2840.52126417522,1.0000000000000009,40.0,0,1
1460.64,6.692988999582396,0.0,2840.521264175221,1.0000000000000009,40.0,0,1
1500.0,6.692988999582396,0.0,2840.5212641752205,1.0000000000000009,40.0,0,1
