battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage,max_battery_kwh,meter_binary_count,solver_rounds
1,7.096712539736097,40.0,1038.484632170728,1.0603203651132398,40.0,2,2
5,7.096712539736097,40.0,1057.1905837916477,1.0603203651132398,40.0,2,2
10,7.096712539736097,40.0,1080.5730233177972,1.0603203651132398,40.0,2,2
25,7.096712539736097,40.0,1150.720341896246,1.0603203651132398,40.0,2,2
50,7.096712539736097,40.0,1267.6325395269944,1.0603203651132398,40.0,2,2
100,7.096712539736097,40.0,1501.4569347884901,1.0603203651132398,40.0,2,2
150,7.0967125397361,40.000000000000014,1735.2813300499856,1.0603203651132402,40.0,2,2
200,6.198569721742897,33.51195831685276,1948.4876903379136,0.9261287777597809,40.0,2,2
300,4.734676809065385,18.322905589295406,2235.7204455076035,0.7074084253478985,40.0,2,2
400,4.347401049709137,14.507189063305168,2426.691625867031,0.6495455244256929,40.0,2,2
500,4.052289220924552,13.204746386458353,2589.8773504998862,0.6054528434422043,40.0,3,3
600,3.822770015743949,11.556759561495408,2735.1801625331677,0.5711603613844982,40.0,3,3
700,3.59449272651514,10.632022381295867,2867.8869403460562,0.5370534340844455,40.0,3,3
800,3.2715517591682186,8.629648648063652,2977.365707455739,0.488802799372948,40.0,3,3
1000,2.881088117344893,6.355823298410459,3151.4463953786744,0.43046359668672085,40.0,3,3
1200,2.0816132292460625,0.582061207715343,3279.4233664929634,0.31101399230985516,40.0,6,6
1400,2.0545596590148176,0.026403154135349317,3282.7754954989027,0.3069719163057062,40.0,6,6
1500,2.040871926635339,0.00015153169690988396,3282.915021168945,0.30492683116058894,40.0,6,6
