battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage
1,7.5057423,3871.9462,1940.4832020813687,1.0257468837315955
5,8.20816,56.452694,2318.2112645039565,1.1217404228187176
10,8.0348484,50.066015,2350.2576961131876,1.0980553792202268
25,7.488826,31.539507,2418.4883021063815,1.023435074810409
50,7.2578573,24.092404,2496.4634183000258,0.9918705186619068
100,7.0403351,21.286387,2627.0511497439365,0.9621435829539701
150,6.8611776,20.107353,2748.1891453193457,0.9376596292053657
200,6.7365764,19.268749,2863.3685077696655,0.9206314276630322
300,6.444279,17.683255,3078.1388892036657,0.8806855921694732
400,6.358845,16.65654,3278.453897122514,0.8690100435345666
500,4.4449885,5.9100242,3384.5840442691724,0.6074593184604513
600,3.8655281,2.0634125,3438.2511212441095,0.5282693228825504
700,3.326099,0.069555722,3445.89307348771,0.45455006951581284
800,3.302147,6.6165939e-08,3445.9850965915584,0.4512767504519356
1000,3.3021469,-2.2657119e-12,3445.9850972817485,0.45127673678577385
1200,3.3021469,-1.7131348e-11,3445.9850972589625,0.45127673678577385
1400,3.3021469,-3.080666e-11,3445.985097260194,0.45127673678577385
1500,3.3021469,-3.4195021e-11,3445.9850972605327,0.45127673678577385
