battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage
1,7.5057423,3871.9462,2578.1141146805166,1.0257468837315955
5,5.5283373,33.358281,2890.739763073712,0.7555115178537563
10,5.4578369,30.342757,2909.744394572876,0.7458768191508937
25,5.2383468,22.069229,2952.2296214059484,0.7158809470457541
50,5.132669,20.410494,3014.217724410209,0.7014388479572187
100,5.0090573,19.299991,3130.992635011506,0.6845458730854643
150,4.9567265,18.670324,3241.7846694215054,0.6773942613090805
200,4.9451459,17.940259,3348.196312583092,0.6758116377807265
300,4.1527334,12.193575,3546.4442706114096,0.5675192637533151
400,3.1539387,5.5997424,3632.099912167884,0.43102236443762265
500,2.4095854,0.8960545,3673.675334116843,0.3292978384210114
600,2.2782983,0.0,3676.394887149327,0.3113559309698112
700,2.2782984,4.2162366e-08,3676.394898277727,0.311355944635973
800,2.2782983,0.0,3676.394887149327,0.3113559309698112
1000,2.2782983,0.0,3676.394887149327,0.3113559309698112
1200,2.2782983,0.0,3676.394887149327,0.3113559309698112
1400,2.2782983,0.0,3676.394887149327,0.3113559309698112
1500,2.2782983,0.0,3676.394887149327,0.3113559309698112
