battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage
1,7.5659818,3500.819,1838.7137883786268,1.099417338020716
5,8.3513859,53.502018,2151.061218257973,1.213544877277096
10,8.0768006,47.286355,2181.4333784355736,1.1736447231972094
25,7.726859,30.320058,2252.174815271651,1.1227945001191268
50,7.3455254,24.049426,2330.1146316671584,1.0673826867560736
100,6.9335912,20.467381,2455.83696616255,1.0075242819151196
150,6.6641162,19.068156,2570.991538411261,0.9683667085829799
200,6.51487,18.061417,2679.396357612632,0.9466796540471486
300,6.4147165,16.769669,2882.5376362419397,0.9321262890941087
400,6.2665771,15.915708,3072.018290096353,0.9106000643278812
500,4.3595636,5.9566868,3187.593961200067,0.6334907927010888
600,3.7038665,2.5170959,3243.4779384749086,0.5382110551487326
700,3.2406485,1.8739708e-10,3251.2534519136134,0.4709005706742284
800,3.2406485,1.229878e-08,3251.253451974418,0.4709005706742284
1000,3.2406485,-4.4139447e-12,3251.253451780013,0.4709005706742284
1200,3.2406485,-2.2657119e-12,3251.2534518453235,0.4709005706742284
1400,3.2406485,-4.4139447e-12,3251.2534518056973,0.4709005706742284
1500,3.2406485,0.0,3251.2534519067954,0.4709005706742284
