battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage
1,7.0599148,3780.1805,2441.138513417945,1.0258804397426722
5,5.3445787,36.323642,2701.813816299174,0.7766239256875055
10,5.2653392,29.174886,2720.022378657001,0.7651095865760774
25,5.107875,22.287551,2764.9927918492785,0.7422283695478311
50,5.0172083,19.52509,2825.672618357512,0.7290535371736477
100,4.9086284,18.413644,2935.863402732996,0.713275726999619
150,4.781256,17.549765,3041.10157933914,0.6947671674171324
200,4.6804538,16.656787,3141.114020800263,0.6801195394793238
300,4.4821938,15.391256,3332.4821574963876,0.6513102603668645
400,3.0040315,5.6065861,3423.4388953414723,0.4365176129633802
500,2.3658496,1.2106283,3468.8458485404635,0.34378301959295965
600,2.1727378,0.0,3472.5669897898574,0.31572182849990293
700,2.1727378,0.0,3472.5669897898574,0.31572182849990293
800,2.1727378,0.0,3472.566990392308,0.31572182849990293
1000,2.1727378,0.0,3472.5669897898574,0.31572182849990293
1200,2.1727378,0.0,3472.5669897898574,0.31572182849990293
1400,2.1727378,0.0,3472.5669897898574,0.31572182849990293
1500,2.1727378,0.0,3472.5669897898574,0.31572182849990293
