battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage
1,6.7022508,2408.0577,1589.0218267857963,1.050110538818232
5,7.560693,53.691853,1779.9233128704752,1.1846115039546468
10,7.3533679,44.817971,1808.0606809152473,1.1521277490239088
25,7.1144515,35.093672,1878.6363558787216,1.1146942603313472
50,6.9904912,25.738046,1962.93486420124,1.095272125691881
100,6.7569513,21.879792,2099.861670496278,1.0586810285302295
150,6.5906029,20.556342,2223.2742730851464,1.0326175144708107
200,6.433798,19.584233,2340.0279178831092,1.0080492786733173
300,6.1220884,17.840903,2557.962366416143,0.9592105309483268
400,5.7095237,15.341587,2758.067106255671,0.8945697778129201
500,4.523608,9.0189948,2879.277793389032,0.7087601726695254
600,4.0836745,6.9286412,2971.588444416625,0.639831268258907
700,3.8657954,5.7495609,3046.116218128162,0.6056939096422717
800,3.5539441,3.5760423,3108.3992297682216,0.5568329603214605
1000,2.7446182,3.861808e-08,3126.7670731909056,0.4300275508717648
1200,2.7446182,0.0,3126.767072936243,0.4300275508717648
1400,2.7446182,0.0,3126.767072936243,0.4300275508717648
1500,2.7446182,-8.9248312e-13,3126.7670732255624,0.4300275508717648
