battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage
1,6.5456616,2499.4062,2145.7768761905004,1.0255760989573548
5,5.42005,61.093014,2319.0575809128363,0.8492149571486878
10,5.3449885,42.890909,2350.5856251848095,0.8374543002348187
25,5.2954688,25.588277,2401.8727571266245,0.8296955397227357
50,5.1745836,21.752297,2469.877152259141,0.8107552126154376
100,5.0169047,19.706522,2591.211985005797,0.7860500382523318
150,4.946531,18.658877,2703.236714979863,0.7750238671598335
200,4.8263867,17.847201,2809.819524880608,0.7561996244727441
300,3.6728483,10.528914,2999.1895309882757,0.5754629037920556
400,3.3575197,8.3155199,3107.6773544945163,0.5260571301300496
500,3.1255645,6.7157169,3194.737076260136,0.4897143242097323
600,2.9880882,5.7502723,3266.6347404605426,0.46817449889198437
700,2.3887753,1.9998022,3319.0804762917387,0.3742739853003835
800,2.0042449,0.048514006,3326.2481666013105,0.31402565416720807
1000,1.9893489,0.0,3326.3192652058588,0.311691744701117
1200,1.9893489,0.0,3326.3192652058588,0.311691744701117
1400,1.9893489,0.0,3326.3192652058588,0.311691744701117
1500,1.9893489,0.0,3326.3192652058588,0.311691744701117
