battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage
1,6.8626418,2227.7215,1620.7764221216148,1.025347837928345
5,7.5086461,47.555576,1813.7405858197483,1.1218673899611225
10,7.517659,43.570062,1840.1468465728765,1.1232140080417083
25,7.3308908,34.935814,1907.6055080602002,1.0953089569484444
50,7.1815387,25.606785,1991.3679999120177,1.0729942482272259
100,7.0250773,22.096491,2128.999174214549,1.0496173384474907
150,6.7664391,20.516712,2253.2090541970256,1.0109741851394336
200,6.6483203,19.403975,2369.96358225821,0.9933260461678367
300,6.4371188,17.653968,2585.2492989454477,0.961770413846735
400,5.8193108,14.306681,2777.5895034699793,0.8694636731605411
500,5.2391844,10.964489,2922.695209127291,0.7827869432217653
600,4.601493,8.0657068,3033.09600770021,0.6875094222158605
700,4.2918437,6.3658355,3116.1232481031134,0.6412446965425747
800,4.1712194,5.5874949,3186.1241058001106,0.6232222106237234
1000,3.0441213,0.17875248,3233.713898050907,0.45482239701722776
1200,2.9966475,0.0,3234.6473416088425,0.44772933291642586
1400,2.9966475,0.0,3234.6473416088425,0.44772933291642586
1500,2.9966475,0.0,3234.6473416088425,0.44772933291642586
