battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage
1,6.8626418,2227.7215,2203.774396056193,1.025347837928345
5,5.6296957,73.880292,2365.167256359888,0.8411332665198263
10,5.908868,41.372247,2399.1603789620262,0.8828444212845239
25,5.7708341,28.360811,2457.291975934371,0.8622207656937837
50,5.4610184,21.726802,2526.104168589643,0.8159311781837295
100,5.4333992,20.004715,2647.9869678055575,0.8118045913924284
150,5.2879996,18.68905,2760.8421066265278,0.7900804259994967
200,5.2016831,17.710794,2867.0357373505567,0.7771838711111823
300,4.4734695,13.013117,3048.610865912506,0.6683814212572474
400,3.8713574,9.6280271,3182.0241972540643,0.5784198061944453
500,3.4544301,7.3920376,3280.208161626595,0.5161266663094082
600,3.2936623,6.3052489,3359.656503641203,0.49210633697523015
700,2.994883,4.4054347,3427.9539345208836,0.4474656988360307
800,2.3069008,0.50523016,3451.2663716116804,0.34467422554316757
1000,2.2040184,2.8822104e-09,3453.5967022800087,0.32930255826470356
1200,2.2040184,0.0,3453.596703583562,0.32930255826470356
1400,2.2040184,0.0,3453.596703583562,0.32930255826470356
1500,2.2040184,0.0,3453.596703583562,0.32930255826470356
